Questions,Correct,A,B,C,D
What does the word cretin refer to?,C,Cyst on the brain stem,None of these,An idiot,Swelling of the cerebrum caused by spinal fluid
Leaves of Grass,D,Carl Sandberg,T.S. Eliot,Robert Frost,Walt Whitman
At The Mountains of Madness,A,H.P. Lovecraft,Peter Straub,Edgar Allan Poe,C.S. Lewis
Ape and Essance; Eyeless in Gaza; Point Counter Point,B,J.D. Salinger,Aldous Huxley,Maya Angelou,William Butler Yeatts
1984; Animal Farm,C,Herman Hesse,Rudyard Kipling,George Orwell,Aldous Huxley
Return of the Native; Jude the Obscure; Far From the Madding Crowd,A,Thomas Hardy,William Faulkner,Rudyard Kipling,James Dickey
The Antichrist; The Gay Science; Beyond Good and Evil; Thus Spoke Zarathustra,B,none of these,Frederick Nietzche,Amari Baraka,Stephen King
What language can Harry Potter speak?,D,Goblin,English,Mermish,Parseltounge
Cornelia Fudge is the Minister of Magic.,A,False,True,,Q Hermione was supposed to turn into this person after drinking the Polyjuice Potion.
What was Hagrid buying in Knockturn Alley?,D,Flesh-Eating Slug Attractor,Fresh-Skin Slug Repellent,Flesh-Eating Ant Repellent,Flesh-Eating Slug Repellent
"This book by James Joyce was forbidden by the US authorities for 15 years, because it was considered obsene. The ban was lifted in 1933.",A,Ulysses,Portrait of the Artist,Dubliners,Fanny Hill
This book about the life of a prostitute was written by John Cleland. It has been banned in the past due to frank sexual descriptions.,C,Candide,Lysistrata,Fanny Hill,Decameron
This book tells the story of two women who meet and fall in love with each other. They openly declare their homosexuality to family and friends. Thats why the Kansas school system ordered the removal of all copies of this book from high school libraries.,C,Daddys Roommate,Andersonville,Annie on My Mind,Catch 22
This book led Austin Miles to the courts in 1992.  Miles was sued because his book was ...a vitriolic attack upon organized Christianity.,D,Leaves of Grass,Dictionary of American Slang,Jerusalem Delivered,Dont Call Me Brother
This book by Judy Blume was censored as it discussed adolescent sexuality in too much detail.,D,Grapes of Wrath,Lolita,Freedom and Order,Forever
This book by George Orwell was banned as it was pro-communist.,C,The Sun Also Rises,Coming Up for Air,1984,Deliverance
This Lewis Carrolls work was banned in China because in it humans and animals used the same language.,B,Sylvie and Bruno,Alices Adventures in Wonderland,Through The Looking Glass,The Hunting of the Snark
Its translation into local languages was forbidden in Burma.,D,The Quran,The Cabala,Arabian Nights,The Bible
"This book was censored in 1985 in Cairo, Egypt as it contained obscene passages which posed a threat to the countrys moral fabric.",A,Arabian Nights,Don Quixote,Analects,Brave New World
An edition of Miltons works was bound in:,A,Human skin,Golden plates,Bears fur,Used newspapers
Binding books with human hide was a common practice once. Why?,C,Because of lack of any other proper material,Because this sold the books more quickly than anything,Because the narrative in the book was about the story of the hides owner,Because it was fashionable at the time
The name of Cruella de Vil from 101 Dalmatians is meaningful because:,D,She actually likes cats and not dogs,She is the owner of the dalmatians,She doesnt give them any food,She wants the puppies for their fur
