Questions,Correct,A,B,C,D
What science did Aristotle define as ‘the knowledge of immaterial being’?, Metaphysics,Psychology,Logic,Metaphysics,Philosophy
Which WWF group does this theme music belong to?, D-Generation X,Nation of Domination,D-Generation X,Legion of Doom,Hart Foundation
"What position is former Major League Baseball player, Rollie Fingers famous for playing?", Pitcher,Catcher,First Base,Pitcher,Third Base
"What position is former baseball player for the Cincinnati Reds, Johnny Bench famous for playing?", Catcher,Second Base,Shortstop,Catcher,Pitcher
"Baltimore Orioles, Cal Ripken Jr. is most known for playing what position?", Shortstop,Right Field,Catcher,Pitcher,Shortstop
"Steve Garvey is a famous former baseball player, who is known for playing what position?", First Base,First Base,Shortstop,Third Base,Catcher
"What position is former Major League Baseball player, Joe Morgan most known to have played?", Second Base,Outfield,None of these,Second Base,Catcher
"What position is former professional baseball player, Mike Schmidt famous for playing?", Third Base,Pitcher,Catcher,Third Base,Second Base
"Which of these positions is former baseball player, Dwight Evans most famous for?", Right Field,Right Field,Pitcher,Second Base,Center Field
"Successful Major League Baseball player and coach, Donald Edward Don Gullett, was famous for playing what position?", Pitcher,Pitcher,Second Base,Right Field,Catcher
"Whitey Ford was a successful Major League Baseball player, who played in what position?", Pitcher,Pitcher,First Base,Catcher,Shortstop
"Carlton Fisk was a successful Major League Baseball player, who played for 24 years with the Boston Red Sox and Chicago White Sox, in what position?", Catcher,Catcher,Pitcher,Left Field,None of the Above
"The Pittsburgh Steelers of the 50s had a third string quarterback from Louisville, who was not making it. They cut him and he landed with the Colts. Who was he?", Johnny Unitas,Terry Bradshaw,Bert Jones Jr,Len Dawson,Johnny Unitas
Which was the first football team to win back to back Super Bowls with different coaches?, San Francisco,San Francisco,Dallas,Miami,Pittsburgh
How many points did Wilt Chamberlain score in his best game versus New York?, 100,71,100,82,99
"He is the youngest NBA player to score 10,000 points.", Kobe Bryant,Spud Webb,Kobe Bryant,Moses Malone,Michael Jordon
He is the shortest player ever to win the Slam Dunk Contest., Spud Webb,Kobe Bryant,Spud Webb,Vince Carter,Tracy McGrady
He retired with the NBAs highest scoring average (30.1 points per game)., Michael Jordan,Jarmaine ONeal,Shaquille ONeal,Dwyane Wade,Michael Jordan
