Questions,Correct,A,B,C,D
In what fictional city is the TV show Futurama set?,B,New Chicago,New New York,New San Francisco,None of these
What is the lowest ranking species in the Covenant hierarchy in the Halo series?,D,Drone,Brute,Elite,Grunt
Who controls the Flood in the Halo series?,A,Gravemind,The Prophet of Truth,The Arbiter,No one
What is a SPARTAN in the Halo series?,D,A Genetically modified super soldier,A higher ranking soldier than a ODST,Troopers that went through military training at the age of five,All of these
What species is the Didact in the Halo series?,A,Forerunner,Precursor,Promethean,Yamne
"In the Halo series, Zealots use Energy Swords.",A,True,False,,Q Which of the following does the UNSC use to transport troops in the halo series?
What does UNSC stand for in the Halo series?,C,None of the above,United Nations Space Council,United Nations Space Command,Unified Nations Supreme Court
What is the largest UNSC ship in the Halo series?,B,UNSC In Amber Clad,UNSC Infinity,UNSC Spirit of Fire,UNSC Pillar of Autumn
What city does Halo 3 ODST take place in?,B,Voi,New Mombasa,Toronto,New York
What is the largest species of the Covenant in the Halo series?,B,Brute,Hunter,Jackal,Elite
Who made the fictional Mother Brain and for what purpose?,D,The Galactic Federation built her as a next generation Aurora Unit.,It is unknown who made her but she was made to control Zebes.,The Space Pirates built her to be one of their generals.,The Chozo built her to be a organic Supercomputer.
How did the Alimbics become extinct in the Metroid series?,C,They discovered Phazon and developed Phazon Madness causing them to wipe each other out.,Gorea wiped them out.,The entire species used up their life energy to imprison Gorea.,The Metroids wiped them out.
What creature passes on the X Parasite to Samus in the Metroid series?,D,Metroid,Space Pirate,Kihunter,Hornoad
Who is the Deleter in the Metroid series?,D,Lyle Smithsonian,Adam Malkovich,K.G Misawa,James Pierce
Kraid is the only one of his species encountered in the Metroid game.,B,True,False,,Q What do Steamlords keep as pets in the Metroid series of games?
An ancient Chozo prophecy predicts the coming of Phazon and the Metroid Prime. In this prophecy the Metroid Prime is referred to as which of the following?,A,Worm,Beast,Destroyer,Consumer
King Worm can be fought after Mother Brainin Metroid Zero Mission.,A,True,False,,Q What planet are Kihunters from in the Metroid games?
What planet is Samus from  in the Metorid games?,B,It is unknown,K-2L,Norion,Zebes
What is the name of the enemy faction in the first N.O.V.A?,A,Xenos,Volterites,Judgers,The Dominion
The N.O.V.A 3 Shotgun is both semi and fully automatic.,B,False,True,,Q On which planet does the first two missions in N.O.V.A 2 take place?
Who helps Kal Wardin find the Judger artifact aboard Therrius in N.O.V.A?,C,Prometheus,Yelena,MazRah,Rufus
"In N.O.V.A, Kal Wardin is rewarded for finding out what happened aboard the Colonial Pride by almost being killed.",B,False,True,,Q Who is the leader of the Volterites in N.O.V.A?
