Questions,Correct,A,B,C,D
Three of these animals hibernate. Which one does not?, Sloth,Mouse,Sloth,Frog,Snake
All of these animals are omnivorous except one., Snail,Fox,Mouse,Opossum,Snail
Three of these Latin names are names of bears. Which is the odd one?, Felis silvestris catus,Melursus ursinus,Helarctos malayanus,Ursus minimus,Felis silvestris catus
These are typical Australian animals except one., Sloth,Platypus,Dingo,Echidna,Sloth
Representatives of three of these species produce venom of their own. Which is the odd species?, Mosquitos,Lizards,Scorpions,Frogs,Mosquitos
Three of these species shed their skin. Which one does not?, Penguins,Penguins,Snakes,Insects,Crustaceans
This percentage of all snakes on Earth are lethal to humans., 15%,10%,20%,15%,25%
Snakes are this kind of animals., Carnivorous,Herbivorous,Omnivorous,Carnivorous,Vegetarian
Snakes consume their food by means of this process., Swallowing,Breathing,Absorption,Swallowing,Chewing
A specialist in snakes is called one of these., Ophiologist,Pisciculturist,Ornithologist,Ophiologist,Herpetologist
One of the following snakes does not belong to the Viperidae family., Grass snake,Horned adder,Grass snake,Viper,Asp
"The cobras most recognizable feature is its hood, a flap of skin and muscle behind the head, believed to serve this purpose.", More threatening appearance,Balance control,Heat collection from sun rays,Camouflage,More threatening appearance
"The Cobra is at the top of the food chain, with only two main predators -- one is man and the other is this animal.", Mongoose,Jackal,Mongoose,Lynx,Eagle
This is where the Cobras ribs are situated., Behind its head,Behind its head,"In its chest, around the middle of the body",Cobras have no ribs,In its tale
What type of dog did Richard Nixon receive from a Texan while he was a candidate for Vice President?, Cocker Spaniel,German Shepherd,Cocker Spaniel,Golden Retriever,Welsh Corgy
What was the name of Socks companion at the White House during the Clinton Administration?, Buddy,Buddy,Shoes,Bailey,Buster
What breed is known as the favourite breed of Queen Elizabeth II?, Welsh Corgi,Border Collie,Old English Sheepdog,Welsh Corgi,Australian Cattle Dog
What was the name of Fraisers fathers dog on the hit TV show set in Seattle?, Eddie,Niles,Marty,Eddie,Skip
Which one of these sea mammals is not in the endangered species lists?, Pilot whale,Fin Whale,Pilot whale,Blue Whale,Humpback Whale
"This endangered turtle is the biggest of all living turtles, reaching a length of over 2.7 m (8.8 ft) and weight of 900 kg (2,000 lb).", Leatherback Sea Turtle,Leatherback Sea Turtle,Kemps Ridley Turtle,Hawksbill Sea Turtle,Mesoamerican River Turtle
Name the rarest and most endangered of all wolves., Red Wolf,Red Wolf,Ethiopian Wolf,Black-backed Wolf,Gray Wolf
"What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?", Central Asia,North America,Central Asia and North America,Central Asia,Europe and North America
"This small nocturnal animal, whose natural habitat are the deserts of Northern Africa, is known to jump not only for hunting or protection, but also for pleasure.", Fennec,Cape Fox,Red Fox,Bengal Fox,Fennec
"Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?", Australia,North America,Australia,Africa,Asia
"This small, graceful member of the antelope family is an extraordinary jumper - while leaping, it touches the rocky terrain of its South African habitats only with the tip of its hooves, resembling a dance.", Klipspringer,Oribi,Roan Antelope,Scimitar Oryx,Klipspringer
Which word refers to the sound peacocks make?, Scream,Scream,Squill,Squeak,Squall
Ancient Japanese thought this animal caused earthquakes., Spiders,Birds,Spiders,Snakes,Frogs
How many types of bats are there?, 900,900,700,500,200
What is the white tigers scientific name?, Panthera tigris,Pantha,Panthera tigis,Panthera tiger,Panthera tigris
Which of the following is not a type of chipmunk?, Bushy-tailed,Bushy-tailed,Long-eared,Eastern,Sonoma
Which of these is not an actual breed of horse?, Sioux,Sioux,Russian Trotter,Belgian,Murgese
Which of the following is not a breed of dog?, Ferret terrier,Pom-a-poo,Lakeland terrier,Fox terrier,Ferret terrier
One of these is not a true breed of cat. Which one?, French Twist,Pixie-bob,Maine coon,Ragdoll,French Twist
Which of these is not a type of beetle?, Burrowing beetle,Long-horn beetle,Stag beetle,Flea beetle,Burrowing beetle
Which of the following is not a type of spider?, Glass spider,Glass spider,Trapdoor spider,Brown recluse spider,Bird-dropping spider
All but one of the following are true types of bears. Which is the odd one?, Moon bear,Moon bear,Brown bear,Black bear,Sun bear
Which of these is not an actual breed of sheep?, Dakota,Scottish black-face,Dakota,Hampshire,Merino
One of these is not a true breed of chicken. Which one?, Red-tailed,Hamburg,Plymouth Rock,Leghorn,Red-tailed
Which of the following is not a breed of pig?, Ridgeback,Norwegian Yorkshire,Vietnamese pot-belly,Ridgeback,Tokyo-X
What is a group of lions called?, Pride,Family,Group,School,Pride
What is the breed of animal created from the crossing of a male lion and a female tiger?, Liger,Tigon,Tiges,Ligon,Liger
What is the breed of animal created from the crossing of a female lion and a male tiger?, Tigon,Tigen,Liger,Tigon,Liges
What do male lions have which females do not possess?, A mane,An extra tooth,A mane,Longer nails,Distinguished eyes
What is the average lifespan of a lion living in the wild?, 10 -15 years,20 - 30 years,Less than 10 years,10 -15 years,Greater than 30 years
"Cats twitch the tips of their tails slightly when hunting or when angry, while stronger twitching indicates what?", Displeasure,Stress,Displeasure,Boredom,Playfulness
"If a cat pushes its face against your head, this means what?", Acceptance,Impatience,Submission,Acceptance,Aggression
"Cats generally purr when they are happy, but they can also be heard purring in what other situation?", When they are distressed or in pain,When they are distressed or in pain,When they are hunting or playing,When they are hungry or thirsty,When they are lonely or angry
How many different vocalization sounds does a cat make?, 100,100,200,50,150
What was the largest  eagle ever found on Earth?, Haasts Eagle,Golden Eagle,Haasts Eagle,Harpy Eagle,Bald Eagle
