Questions,Correct,A,B,C,D
What science did Aristotle define as ‘the knowledge of immaterial being’?,C,Psychology,Logic,Metaphysics,Philosophy
Which WWF group does this theme music belong to?,B,Nation of Domination,D-Generation X,Legion of Doom,Hart Foundation
"What position is former Major League Baseball player, Rollie Fingers famous for playing?",C,Catcher,First Base,Pitcher,Third Base
"What position is former baseball player for the Cincinnati Reds, Johnny Bench famous for playing?",C,Second Base,Shortstop,Catcher,Pitcher
"Baltimore Orioles, Cal Ripken Jr. is most known for playing what position?",D,Right Field,Catcher,Pitcher,Shortstop
"Steve Garvey is a famous former baseball player, who is known for playing what position?",A,First Base,Shortstop,Third Base,Catcher
"What position is former Major League Baseball player, Joe Morgan most known to have played?",C,Outfield,None of these,Second Base,Catcher
"What position is former professional baseball player, Mike Schmidt famous for playing?",C,Pitcher,Catcher,Third Base,Second Base
"Which of these positions is former baseball player, Dwight Evans most famous for?",A,Right Field,Pitcher,Second Base,Center Field
"Successful Major League Baseball player and coach, Donald Edward Don Gullett, was famous for playing what position?",A,Pitcher,Second Base,Right Field,Catcher
"Whitey Ford was a successful Major League Baseball player, who played in what position?",A,Pitcher,First Base,Catcher,Shortstop
"Carlton Fisk was a successful Major League Baseball player, who played for 24 years with the Boston Red Sox and Chicago White Sox, in what position?",A,Catcher,Pitcher,Left Field,None of the Above
"The Pittsburgh Steelers of the 50s had a third string quarterback from Louisville, who was not making it. They cut him and he landed with the Colts. Who was he?",D,Terry Bradshaw,Bert Jones Jr,Len Dawson,Johnny Unitas
Which was the first football team to win back to back Super Bowls with different coaches?,A,San Francisco,Dallas,Miami,Pittsburgh
How many points did Wilt Chamberlain score in his best game versus New York?,B,71,100,82,99
"He is the youngest NBA player to score 10,000 points.",B,Spud Webb,Kobe Bryant,Moses Malone,Michael Jordon
He is the shortest player ever to win the Slam Dunk Contest.,B,Kobe Bryant,Spud Webb,Vince Carter,Tracy McGrady
He retired with the NBAs highest scoring average (30.1 points per game).,D,Jarmaine ONeal,Shaquille ONeal,Dwyane Wade,Michael Jordan
Karl Malone received the award Most Valuable Player in 1996-97. What team did he play for?,D,Sacramento Kings,Miami Heat,LA Lakers,Utah Jazz
He is the NBAs All-Time scorer.,A,Kareem Abdul-Jabbar,Ken Johnson,Clyde Lovelette,Michael Jordan
Wilt Chamberlain is a great player indeed. In a game against the Celtics he made the best rebounding effort ever. How many rebounds did he make in this famous game?,C,16,57,55,31
"Who is the first player to top 20,000 points in NBA?",A,Bob Pettit,Spud Webb,Clyde Drexler,Wilt Chamberlain
George Muresan and Manute Bol are the tallest players in NBA history. How tall are they?,A,77 (2.31m),72 (2.18m),78 (2.33m),74 (2.23m)
Who is the shortest player in the history of NBA?,A,Tyronne Bogues,Spud Webb,Larry Bird,Eddie Griffin
"He was a player, coach, and owner  -all for one team. He was also instrumental in developing the NFL.",B,Wellington Mara,George Halas,Red Grange,Pete Rozelle
This college and pro great had a very strange nickname -Crazy Legs.   His last name was Hirsch.  What was his real first name ?,D,Lester,Arnie,Cliff,Elroy
"Compton Junior College gave us this all-time great runner, who played fullback and was nicknamed Joe the Jet.",D,Battles,Neale,Sanders,Perry
"His real name is Yelverton Abraham, and he played for San Francisco as well as the NY Giants. He attended LSU.",D,Motley,Strong,Groza,Tittle
This great sportsman was the first football player to be all-pro at defensive back one year and running back another.,C,Grange,Thorpe,Gifford,Haynes
"This quarterback was cut by the Steelers and picked up by another team, played in high tops, and his teammates include Lenny Moore and Steve Myhra.",B,Terry Bradshaw,Johnny Unitas,John Brodie,Norm Van Brocklin
This great defensive end came from South Carolina State and played for the Rams. He is credited with inventing the head slap move.,B,Lamar Lundy,David Jones,Merlin  Olsen,Rosy Grier
"This great running back was once traded for eleven players.  He had great speed and great moves, returned kicks, caught passes, and ran the ball.",B,Barry Sanders,Ollie Matson,Dick Lane,Marcus Allen
This great football player is known for catching the immaculate reception .,D,O.J. Simpson,Lynn Swann,John Stallworth,Franco Harris
"Many of the greatest coaches, both pro and college, trace their learning to Miami University of Ohio and the teachings of this coaching great, who led Cleveland to many championships.",C,Woody  Hayes,Weeb Ewbank,Paul Brown,Don Shula
When did Miami Heat enter the NBA?,A,1988,1974,1963,1958
How many teams does the Atlantic Division of the Eastern Conference have?,D,7,4,10,5
