Questions,Correct,A,B,C,D
What is the capital of Afghanistan?, Kabul,Tirana,Kabul,Dushanbe,Tashkent
What is the capital of Australia?, Canberra,Canberra,Sydney,Melbourne,Ottawa
What is the capital of Belgium?, Brussels,Amsterdam,Luxemburg,Brussels,Stockholm
What is the capital of Greece?, Athens,Ankara,Athens,Sofia,Thessaloniki
What is the capital of Italy?, Rome,Venice,Rome,Naples,Milan
What is the capital of Israel?, Jerusalem,Tel Aviv,Kabul,Jerusalem,Islamabad
What is the capital of Germany?, Berlin,Frankfurt,Berlin,Munich,Hamburg
What is the capital of Norway?, Oslo,Stockholm,Helsinki,Oslo,Copenhagen
"What is the capital and largest city of Hawaii, the 50th US state?", Honolulu,Little Rock,Dover,Frankfort,Honolulu
"When the streams Biya and Katun join in Altai Krai, they form this mighty river. It is located in West Siberia, Russia and has many names- the Siberian Tatars call it Omar or Umar, the Samoyedes- Kolta or Kuay and to the Ostiaks it is known as the As, Yag, Kolta and Yema. It joins the Irtysh river, forming the longest river flow in Russia. What is its name?", Ob,Ural,Volga,Ob,Lena
"Although the Amazon river is generally regarded as the second-longest in the world, it is the river with greatest total flow, carrying more than the Mississippi, Nile, and Yangtze rivers combined.  It ends in the Atlantic Ocean, but it is believed to begin its long journey from this mountain peak.", Nevado Mismi,Nevado Mismi,Misti,Cotopaxi,Mount Chimborazo
"This is the longest river in Asia and its Chinese name, Chang Jiang, is literally translated to Long River. The critically endangered Chinese River Dolphin and Chinese paddlefish live only in this river. It takes its source in the Qinghai Province, flows for 6,380km (3964miles) and finally empties into the East China Sea. What is the name of this river?", Yangtze,Irtysh,Huai River,Yangtze,Mekong
"Huang He is the second-longest river in China. Its source is in the Kunlun Mountains at 4,500m (14,764 feet) above sea level. Due to the silts that the river carries, the color of its waters becomes so unnatural that it gave the name of the river . What is the color of the waters of Huang He?", Yellow,Brown,Orange,Yellow,Red
"It is the second-longest river in the United States. The longest one, Missouri, joins it to form the longest river flow in North America. This river flows through ten states- Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kentucky, Arkansas, Tennessee, Mississippi and Louisiana and mouths into the Gulf of Mexico. I am not going to ask you about its name, but about its source. What is the origin of the Mississippi river?", Lake Itasca,Lake Superior,Lake Pepin,Lake Itasca,Cass Lake
"This is the twelfth-longest river in the world. It runs through China, Myanmar, Thailand, Laos, Cambodia and Vietnam. There are various theories about the source and the exact length of the river because there are several effluents of it that are too difficult to explore. Due to the many rapids and waterfalls, as well as the extreme changes in the flow of the river, sailing is extremely difficult. What is the name of this river?", Mekong,Mekong,Saskatchewan,Angara,Brahmaputra
"The longest river in Europe is Volga. But do you know which is the second longest one? It flows through several major European cities, such as Ulm, Vienna, Bratislava, Budapest and Belgrade. The river empties in the Black Sea on the terrirories of Romania and Ukraine.", Danube,Don,Dniepr,Danube,Emba
"The Ganges river is considered to be a holy in India. There is a Hindu legend that the river was created from the sweat of the feet of Vishnu, collected by Brahma. According to Hindu beliefs, if you bathe in the waters of Ganges, it will wash away your sins. However this is not very hygienic, as the river is badly polluted by cremated corpses, carcasses, waste from factories and more.  Where does this river empty?", The Bay of Bengal,The Bay of Bengal,Lop Nur,The Quarry Bay,Kara Sea
"Victoria Falls is one of the most spectacular waterfalls in the world. The falls are named after Queen Victoria by David Livingstone, the explorer who visited them in 1855. The falls are 128 m (420 ft) high and are situated on this river.", Zambezi,Zambezi,Congo,Gambia,Orange
"The Nile is generally considered the longest river in the world.  The source of this mighty river remained unknown for centuries. Finally Lake Victoria was decided to be its source, although there are other theories. Lake Victoria is located on the territories of these three countries."," Uganda, Kenya and Tanzania","Sudan, Ethiopia and Kenya","Zambia, Angola and Sudan","Uganda, Kenya and Tanzania","Egypt, Morocco and Zimbabwe"
"Name the line, which is the same distance from the North Pole and South Pole and runs horizontally around the world.", Equator,Tropic of Capricorn,Equator,Tropic of Cancer,Prime Meridian
"What term refers to the horizontal line, 23.5 degrees S, which passes through South America, Africa, and Australia?", Tropic of Capricorn,Tropic of Cancer,Prime Meridian,Tropic of Capricorn,Equator
Which continents are entirely in the Southern Hemisphere?, Australia and Antarctica,"South America, Africa, and Australia",Australia and Antarctica,"South America, Australia and Antarctica",South America and Australia
"Which continents (landmasses, not peripheral islands) are entirely in the Northern Hemisphere?"," North America, Europe, and Asia",North America and Europe,"Europe, Africa and Asia","North America, Africa, and Asia","North America, Europe, and Asia"
Which continents are entirely in the Western Hemisphere?, North America and South America,"North America, Europe, and Asia","Europe, Asia, Africa, Australia",Australia and Antarctica,North America and South America
Which feature on a map helps determine direction?, a compass rose,a key,a legend,a compass rose,a scale
Which of these is not a type of map projection?, Crusoe,Robinson,Crusoe,Mercator,Interrupted
Which of these continents is largest (by territory)?, North America,South America,Antarctica,North America,Europe
Which of these countries is smallest (by territory)?, San Marino,Seychelles,Liechtenstein,San Marino,Marshall Islands
Which of these US cities is largest (by population)?, Houston,Houston,Phoenix,Philadelphia,San Antonio
Which of these mountains is highest?, Mount McKinley,Puncak Jaya,Mount McKinley,Mount Elbrus,Mount Kilimanjaro
Which of these lakes is deepest?, Tanganyika,Caspian Sea,Malawi or Nyasa,Tanganyika,Issyk-Kul
Which of these rivers is longest?, Huang,Lena,Huang,Amur,Ob-Irtysh
Which of these seas is largest?, Mediterranean,Bering,Arabian Sea,Mediterranean,Gulf of Mexico
Which of these deserts is largest?, Syrian,Chihuahuan,Syrian,Thar,Great Sandy
Which of these inhabited places is wettest?, Moulein,Moulein,Sylhet,Baguio,Lae
Which of these oceans has the greatest depth?, Pacific Ocean,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean
"The rivers - the Tajo, the Ebro, the Duero, and the Guadiana, are located in this country.", Spain,Columbia,Portugal,Spain,Brazil
"The volcanoes - Akan, Aso, Mount Fuji and Rausu are located in this country.", Japan,Japan,Malaysia,North Korea,Indonesia
"Onega, Khanka and Chudskoye are three of the many lakes in this country.", Russia,Kazakhstan,Mongolia,Ukraine,Russia
The valleys of the Yellow River and the Pearl River are two of the seven main national valleys in this country., China,Burma,China,Thailand,India
"Pico da Bandeira, Pico do Cruzeiro and Pedra da Mina are three of the numerous mountains located in this South American country.", Brazil,Argentina,Chili,Brazil,Peru
Chauvet Cave and Meyrieres Cave are two caves located in this European state., France,France,Netherlands,Spain,Belgium
Kainji Lake and Lake Chad are considered lakes of this country., Nigeria,Niger,Nigeria,Cameroon,Chad
"Mitchell, Jardine, Staaten, Flinders, Leichhardt, and Nicholson are just few of the rivers in this country.", Australia,Indonesia,Australia,Papua New Guinea,New Zealand
"Kaskaspakte, Akka and Sielmmacohkka are three mountains in this country.", Sweden,Norway,Finland,Denmark,Sweden
Dasht-e Kavir and Kavir-e Lut are deserts located in this Asian country., Iran,India,Iran,Pakistan,Iraq
Which two countries border the Dead Sea?, Jordan and Israel,Jordan and Israel,Lebanon and Jordan,Syria and Jordan,Lebanon and Israel
What are the Tropic of Cancer and the Tropic of Capricorn?, Lines of latitude,Lines of latitude,Lines of longitude,Parallel to the Greenwhich Meridian,None of these
Which statement about the emu and the kangaroo is not true?, Both are indigenous only to Australia.,Both are indigenous only to Australia.,Both are on the national emblem of Australia.,Both are incapable of flying.,Both are incapable of  walking backwards.
What was the former name of the city of Istanbul ?, Constantinople,Constantinople,Persia,Zaire,Siam
Where would you find the shortest river in the world?, Montana,Wales,Ecuador,Tasmania,Montana
What major geographical feature is located at 23.5 degrees North latitude?, The Tropic of Cancer,The Equator,The Arctic Circle,The Tropic of Capricorn,The Tropic of Cancer
Which would be found at 39 degrees 43 minutes North latitude?, The majority of the Mason-Dixon Line.,The Tropic of Cancer,The Tropic of Capricorn,The majority of the Mason-Dixon Line.,The border between Canada and  Washington State.
Which country held the record for the highest birth rate in the 2005 world statistics?, Niger,Niger,Uganda,Mali,Vatican City
How many US states border the Gulf of Mexico?, 5,4,3,5,10
"Measuring at the Equator, what is the closest approximation of the Earths circumference?"," 24,900 miles","24,900,000 miles","24,900 miles","249,000 miles","2,490,000 miles"
The people of which country watched the most TV per week in 2005?, Thailand,Thailand,The Philippines,The USA,Egypt
How many US states border the Pacific Ocean?, 5,11,4,5,3
Which one of these ski resorts is not located in the Alps?, Mont-Tremblant,Kitzbuhel,Zermatt,Mont-Tremblant,Chamonix-Mont-Blanc
The tallest mountain peak in the US is Mount McKinley. This is the second tallest., Mount Saint Elias,Mount Saint Elias,Glacier Peak,Mount Washington,Gannett Peak
Which one of these mountains is not a volcano?, Mount Aspiring,Mauna Kea,Mount St. Helens,Mount Vesuvius,Mount Aspiring
"The highest mountain peak on our planet is Mount Everest. It was first climbed by Edmund Hillary and Tenzing Norgay on May 29, 1953. What is the home country of Sir Edmund Hillary?", New Zealand,United Kingdom,The United States,France,New Zealand
"Which saltwater lake, bordered on the west by Azerbaijan and Russia, is the largest inland body of water in the world?", Caspian Sea,Tanganyika,Victoria,Baikal,Caspian Sea
"This country, situated in North Europe, has almost 200 000 lakes - more than any other country in the world.", Finland,Finland,Sweden,The Netherlands,Georgia
"Which body of water, situated in Southern Siberia, is the deepest and oldest freshwater lake on Earth?", Baikal,Onega,Ladoga,Huron,Baikal
"This water body, which is South Americas largest freshwater lake, is the highest commercially navigable lake.", Titicaca,Nyasa,Nicaragua,Titicaca,Michigan
This country has more than 60% of worlds lakes due to its special drainage system., Canada,Australia,Russia,Canada,The USA
"This freshwater-lake island, with a surface area of 2,766 km², is the biggest on Earth.", Manitoulin Island,Islandlake,Ainslie,Manitoulin Island,Isle of Wight
"What Canadian lake is the largest in the world, located on an island?", Nettilling Lake,Nettilling Lake,Aral,Winnipeg,Michigan
"This is the lowest lake on Earth, situated at about 400 meters below sea level on the border between Israel and Jordan.", Dead Sea,Issyk-Kul,Balkhash,Urmia,Dead Sea
Which tiny lake located in Tibet is the highest lake on Earth?, Lhagba Pool,Lhagba Pool,Rush Lake,Laguna Lobato,Poquentica Lake
"With a surface area of about 82,000 km², this lake between Ontario and Minnesota is the largest single freshwater lake in the world.", Lake Superior,Turkana,Michigan,Lake Superior,Onega
"The word volcano comes from the name of the Roman god of fire, Vulcan. Who is the analogue of Vulcan in Greek mythology?", Hephaestus,Hephaestus,Helios,Hermes,Zeus
