Questions,Correct,A,B,C,D
"I would rather be a ghost drifting by your side as a condemned soul than enter heaven without you. Because of your love, I will never be a lonely spirit. (2000)",C,Don Juan DeMarco,Ever After,"Crouching Tiger, Hidden Dragon",Dracula
There are only four questions of value in life. What is sacred? Of what is the spirit made of? What is worth living for? What is worth dying for? The answer to each is the same. Only love. (1995),B,When Harry Met Sally,Don Juan DeMarco,Cant Hardly Wait,Ten Things I Hate About You
I have crossed oceans of time to find you. (1992),D,Moulin Rouge,Notting Hill,A Knights Tale,Dracula
"I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible. (1989)",A,When Harry Met Sally,Wuthering Heights,Youve Got Mail,The Mask of Zorro
Love has given me wings so I must fly. (2001),A,A Knights Tale,Phenomenon,Ever After,Forget Paris
"Love? Above all things I believe in love! Love is like oxygen! Love is a many splendored thing, love lifts us up where we belong, all you need is love!",,2001),Moulin Rouge,Hope Floats,Some Like It Hot
"It doesnt matter if the guy is perfect or the girl is perfect, as long as they are perfect for each other. (1997)",D,Forest Gump,The Shawshank Redemption,Citizen Kane,Good Will Hunting
"I am someone else when Im with you, someone more like myself. (2001)",D,Sunrise: A Song of Two Humans,Trouble in Paradise,In America,Original Sin
"If he loved you with all the power of his soul for a whole lifetime, he couldnt love you as much as I do in a single day. (1992)",B,Romeo and Juliet,Wuthering Heights,Shakespeare in Love,Sideways
"Take love, multiply it by infinity and take it to the depths of forever and you still have only a glimpse of how I feel for you. (1998)",D,Moulin Rouge,My Best Friends Wedding,Message In A Bottle,Meet Joe Black
One of these James Bond movies was not released during the 80s.,C,A View to a Kill,Octopussy,Moonraker,For Your Eyes Only
It is a dark time for the,,ebellion. Although the Death,"tar has been destroyed,",mperial troops have driven the,ebel forces from their hidden
This is Babys real name in Dirty Dancing (1987).,B,Barbara,Frances,Susan,Jennifer
"In A Nightmare On Elm Street, Nancy lives on Elm Street, located in this fictional city in Ohio.",C,Derry,Ambervale,Springwood,Blackwood County
"In the movie Rain Man, Raymond and Charlie are at the restaurant when a waitress drops a box of toothpicks. This prompts Raymond to instantly calculate the number of toothpicks on the floor. This was their number.",A,246,250,321,123
One of these actors did not star in Tootsie.,D,Jessica Lange,Teri Garr,Dustin Hoffman,Larry Gelbart
Axel Foley in Beverly Hills Cop is originally a policeman from this city.,A,Detroit,Chicago,Denver,San Fransisco
Indiana Jones from the movie of the same name could write and speak this number of languages.,B,11,27,2,6
A group of Earth children help a stranded alien botanist return home is the plot outline of this movie.,D,Star Wars: Episode VI - Return of the Jedi,The Hitch Hikers Guide to the Galaxy,Cyborg,E.T. the Extra-Terrestrial
What year did the movie The Shawshank Redemption hit the movie theatres?,B,1992,1994,1990,1996
What was the name of the Warden in the hit movie The Shawshank Redemption ?,B,Byron Hadley,Samuel Norton,Ellis Redding,Spencer Heywood
What decade was Andy Dufresne sent to the Shawshank prison in the movie The Shawshank Redemption?,A,1940s,1920s,1930s,1950s
In the popular movie The Shawshank Redemption Andy Dufresne has a poster hanging on his wall in his jail cell. Who is the famous actress on this poster?,C,Greta Garbo,Jayne Mansfield,Rita Hayworth,Bette Davis
In the movie The Shawshank Redemption Andy Dufresne had a best friend in jail named Red. Why did they call him Red?,B,He had red hair.,It was short for his last name.,His favorite color was red.,He had a horrible temper.
"Andy Dufresne, the main character in the movie The Shawshank Redemption, asks Captain Byron Hadley for some suds for his fellow workers, while they are working together on the roof. What kind of beer did the prisoners get?",A,Strohs,Budweiser,Amstel,Heineken
"Clancy Brown, who played Captain Byron Hadley in The Shawshank Redemption, appeared in a 1983 movie with actor Sean Penn.",B,False,True,,"Q In the movie The Shawshank Redemption, what was Reds jail cell number?"
Does Andy Dufresne escape in the movie The Shawshank Redemption?,B,No,Yes,,Q Who was the director of the hit movie The Shawshank Redemption?
What was the budget for the movie The Shawshank Redemption?,D,"$3,000,000","$ 100,000","$ 10,000,000","$ 25,000,000"
"In the movie The Shawshank Redemption, the prisoners are shown watching what movie?",A,Gilda,Its a Mad Mad World,Happy girl 1223 Strikes Again,The Three Stooges
Who directed the blockbuster movie Forrest Gump?,B,Steven Soderbergh,Robert Zemeckis,Tony Scott,John Hughes
"In the opening scene of the movie Forrest Gump, Forrest is sitting on a bench waiting to catch a bus in what southern U.S. city?",D,Birmingham,Atlanta,Columbia,Savannah
Which U.S. president did Forrest NOT get to meet in person in the movie Forrest Gump?,A,Gerald Ford,Lyndon B. Johnson,John F. Kennedy,Richard M. Nixon
"In the movie Forrest Gump, Mrs. Gump (played by Sally Field) ran a boarding house where a young Forrest taught one of the special guests how to dance. Who was this special guest?",B,Fred Astaire,Elvis Presley,Dick Van Dyke,Gene Kelly
"In the self-titled movie, Forrest Gump appears on the Dick Cavett Show to talk about his visit to China.  Who was the other guest on the Dick Cavett Show sitting next to Forrest, wearing a U.S. Army jacket?",C,Abbie Hoffman,Jane Fonda,John Lennon,John Wayne
"In the movie Forrest Gump, Forrest joins the U.S. Army and becomes best friends with Benjamin Buford Blue (played by Mykelti Williamson). What was Benjamins nickname?",D,Beau,Billy,Bennie,Bubba
"For which university did fictional character Forrest Gump play college football, earning All-American honors?",A,University of Alabama,University of Florida,Auburn University,University of Georgia
"In the movie Forrest Gump, Jenny (played by Robin Wright-Penn) and Forrest were childhood friends. As they got older, Forrest went into the U.S. Army and Jenny became a folk singer at a local strip club, using this stage name.",D,Johnnie Cash,Abby Hoffman,Mickey Jagger,Bobbie Dylan
The famous fictional character Forrest Gump wins the Congressional Medal of Honor by saving most of the men in his squad. Forrest himself is wounded during his heroic rescue. Where is Forrest wounded?,D,in the stomach,in the arm,in the leg,in the buttocks
"The Forrest Gump soundtrack was hugely popular, selling over 12 million copies. Which song/artist was not on the Forrest Gump soundtrack?",A,Satisfaction by The Rolling Stones,Break on Through (To the Other Side) by The Doors,California Dreamin by The Mamas and the Pappas,Fortunate Son by CCR
What was Forrests favorite book in the movie Forrest Gump?,D,Cat in the Hat,Alice in Wonderland,The Chronicles of Narnia,Curious George
"In the movie Forrest Gump, what were the last words uttered by Pvt. Benjamin Blue to Forrest, just before he died?",B,I want my Mama,I want to go home,Am I going to make it?,What are we doing here?
"In the movie Forrest Gump, this actor played Lt. Dan Taylor, the commanding officer of Forrest when he first arrived in Vietnam.",A,Gary Sinise,Jack Nicholson,Ed Harris,Robert Duvall
Which 2001 movie is this audio clip from?,B,First Knight,A Knights Tale,Robin Hood: Prince of Thieves,Black Knight
"The movie Back to the Future, directed by Robert Zemeckis, was released in what year?",D,1955,1986,1987,1985
What was the name of Doc Browns dog in the film Back to the Future?,B,Shep,Einstein,Edsel,Shaggy
"In the movie Back to the Future, Martys actions in 1955 change the name of the mall where he and Doc meet in 1985, to secretly  test the time machine.",A,True,False,,"Q In the movie Back to the Future, when Marty is in the diner in 1955, he asks for what kind of drink?"
"In Back to the Future, Doc Brown invented this device, which in his words is what makes time travel possible.",D,transference capacitor,jauntinator,transcendental tripometer,flux capacitor
"In 1955, Doc Brown, one of the lead characters in Back to the Future lives on which street?",D,Maplewood Ave,John F. Kennedy Drive,Pine St,Riverside Drive
Where does Martys older brother work in 1985 in the movie Back to the Future?,B,McDonalds,Burger King,Taco Bell,Wendys
"In 1955, when trying to convince his teenage father George McFly to ask Lorraine out, Marty appears in a radiation suit and says his name is what?",D,Mr. Spock,Captain Kirk,Luke Skywalker,Darth Vader
"In the film Back to the Future, in 1955 Martys parents were supposed to go  a school dance, named what?",A,Enchantment Under the Sea,Enchanted Future,Sadie Hawkins Day Dance,Fish Under the Sea
"Doc Brown, the inventor in the movie Back to the Future, makes a time machine out of a Lamborghini.",A,False,True,,"Q In the film Back to the Future, the building where the diner was located in 1955, houses what type of studio in 1985?"
"In Back to the Future, what did Goldie Wilson do in 1955, before becoming mayor?",D,Played in Marvin Berrys rock and roll group,He was a drifter,Pumped gas at the filling station,Worked in the diner
Musician Huey Lewis appeared in the movie Back to the Future.,B,False,True,,"Q In the movie The Wizard of Oz, the part of Dorothy was played by Hollywood legend Judy Garland. How old was Judy during the making of the movie?"
"What was the last name of Dorothy, the main character in the 1939 movie, The Wizard of Oz?",D,It was never mentioned,Grey,Gulch,Gale
"In the movie The Wizard of Oz, Dorothy lives with her aunt Em and her uncle whose name is what?",B,Uncle Harry,Uncle Henry,Uncle Charlie,Uncle Tom
"This stern lady from the movie The Wizard of Oz is Dorothys neighbour, who threatens to have her dog Toto put to sleep.",A,Miss Almira Gulch,Miss Fanny Green,Miss Daisy Green,Miss Alvina Gray
The ruby slippers Dorothy wears in the film The Wizard of Oz were actually encrusted with genuine rubies.,B,True,False,,"Q What does the Wicked Witch of the West from The Wizard of Oz write in the sky, while flying over the Emerald City?"
The 1939 movie The Wizard of Oz is based on which novel by L. Frank Baum?,D,Dorothys Adventures in Oz,The Land of Oz,The Wizard of Oz,The Wonderful Wizard of Oz
"The dog, that appeared as Toto in the movie The Wizard of Oz, belonged to actress Judy Garland in real life as well as in the film.",B,True,False,,"Q In the movie The Wizard of Oz, the role of the Tin Man was played by Jack Haley but another actor was originally hired for the part. Who was this actor?"
"To celebrate the 50th anniversary of the movie The Wizard of Oz, a real pair of ruby slippers were made. What is the cost of the slippers?",D,1 million dollars,10 million dollars,5 million dollars,3 million dollars
Which 2002 movie is this audio clip from?,A,My Big Fat Greek Wedding,Eat Drink Man Woman,The Wedding Banquet,Betsys Wedding
Which 2004 movie is this audio clip from?,D,Father of the Bride,American Wedding,Surviving Christmas,Meet the Fockers
Cameron Frye,B,The Great Outdoors,Ferris Buellers Day Off,Pretty in Pink,Some Kind of Wonderful
John Bender,C,Weird Science,Class Reunion,The Breakfast Club,Sixteen Candles
Long Duk Dong,B,European Vacation,Sixteen Candles,Weird Science,"Planes, Trains  Automobiles"
Buck Russell,C,Mr. Mom,"Planes, Trains  Automobiles",Uncle Buck,Shes Having a Baby
"Clark Wilhelm Griswold, Jr.",B,Mr. Mom,Vacation,The Great Outdoors,Ferris Buellers Day Off
Andie Walsh,B,Class Reunion,Pretty in Pink,Some Kind of Wonderful,Weird Science
Chet Ripley,C,Weird Science,Nate and Hayes,The Great Outdoors,Uncle Buck
Jack Butler,C,Pretty in Pink,Class Reunion,Mr. Mom,European Vacation
Gary Wallace,C,Nate and Hayes,Some Kind of Wonderful,Weird Science,Shes Having a Baby
Del Griffith,D,Class Reunion,Uncle Buck,Ferris Buellers Day Off,"Planes, Trains  Automobiles"
"Director James Cameron drew all the sketches in Jack Dawsons sketchbook, shown in the film Titanic.",B,False,True,,Q Which actress played Old Rose in the 1997 movie Titanic?
