Questions,Correct,A,B,C,D
What is the capital of Afghanistan?,B,Tirana,Kabul,Dushanbe,Tashkent
What is the capital of Australia?,A,Canberra,Sydney,Melbourne,Ottawa
What is the capital of Belgium?,C,Amsterdam,Luxemburg,Brussels,Stockholm
What is the capital of Greece?,B,Ankara,Athens,Sofia,Thessaloniki
What is the capital of Italy?,B,Venice,Rome,Naples,Milan
What is the capital of Israel?,C,Tel Aviv,Kabul,Jerusalem,Islamabad
What is the capital of Germany?,B,Frankfurt,Berlin,Munich,Hamburg
What is the capital of Norway?,C,Stockholm,Helsinki,Oslo,Copenhagen
"What is the capital and largest city of Hawaii, the 50th US state?",D,Little Rock,Dover,Frankfort,Honolulu
"When the streams Biya and Katun join in Altai Krai, they form this mighty river. It is located in West Siberia, Russia and has many names- the Siberian Tatars call it Omar or Umar, the Samoyedes- Kolta or Kuay and to the Ostiaks it is known as the As, Yag, Kolta and Yema. It joins the Irtysh river, forming the longest river flow in Russia. What is its name?",C,Ural,Volga,Ob,Lena
"Although the Amazon river is generally regarded as the second-longest in the world, it is the river with greatest total flow, carrying more than the Mississippi, Nile, and Yangtze rivers combined.  It ends in the Atlantic Ocean, but it is believed to begin its long journey from this mountain peak.",A,Nevado Mismi,Misti,Cotopaxi,Mount Chimborazo
"This is the longest river in Asia and its Chinese name, Chang Jiang, is literally translated to Long River. The critically endangered Chinese River Dolphin and Chinese paddlefish live only in this river. It takes its source in the Qinghai Province, flows for 6,380km (3964miles) and finally empties into the East China Sea. What is the name of this river?",C,Irtysh,Huai River,Yangtze,Mekong
"Huang He is the second-longest river in China. Its source is in the Kunlun Mountains at 4,500m (14,764 feet) above sea level. Due to the silts that the river carries, the color of its waters becomes so unnatural that it gave the name of the river . What is the color of the waters of Huang He?",C,Brown,Orange,Yellow,Red
"It is the second-longest river in the United States. The longest one, Missouri, joins it to form the longest river flow in North America. This river flows through ten states- Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kentucky, Arkansas, Tennessee, Mississippi and Louisiana and mouths into the Gulf of Mexico. I am not going to ask you about its name, but about its source. What is the origin of the Mississippi river?",C,Lake Superior,Lake Pepin,Lake Itasca,Cass Lake
"This is the twelfth-longest river in the world. It runs through China, Myanmar, Thailand, Laos, Cambodia and Vietnam. There are various theories about the source and the exact length of the river because there are several effluents of it that are too difficult to explore. Due to the many rapids and waterfalls, as well as the extreme changes in the flow of the river, sailing is extremely difficult. What is the name of this river?",A,Mekong,Saskatchewan,Angara,Brahmaputra
"The longest river in Europe is Volga. But do you know which is the second longest one? It flows through several major European cities, such as Ulm, Vienna, Bratislava, Budapest and Belgrade. The river empties in the Black Sea on the terrirories of Romania and Ukraine.",C,Don,Dniepr,Danube,Emba
"The Ganges river is considered to be a holy in India. There is a Hindu legend that the river was created from the sweat of the feet of Vishnu, collected by Brahma. According to Hindu beliefs, if you bathe in the waters of Ganges, it will wash away your sins. However this is not very hygienic, as the river is badly polluted by cremated corpses, carcasses, waste from factories and more.  Where does this river empty?",A,The Bay of Bengal,Lop Nur,The Quarry Bay,Kara Sea
"Victoria Falls is one of the most spectacular waterfalls in the world. The falls are named after Queen Victoria by David Livingstone, the explorer who visited them in 1855. The falls are 128 m (420 ft) high and are situated on this river.",A,Zambezi,Congo,Gambia,Orange
"The Nile is generally considered the longest river in the world.  The source of this mighty river remained unknown for centuries. Finally Lake Victoria was decided to be its source, although there are other theories. Lake Victoria is located on the territories of these three countries.",C,"Sudan, Ethiopia and Kenya","Zambia, Angola and Sudan","Uganda, Kenya and Tanzania","Egypt, Morocco and Zimbabwe"
"Name the line, which is the same distance from the North Pole and South Pole and runs horizontally around the world.",B,Tropic of Capricorn,Equator,Tropic of Cancer,Prime Meridian
"What term refers to the horizontal line, 23.5 degrees S, which passes through South America, Africa, and Australia?",C,Tropic of Cancer,Prime Meridian,Tropic of Capricorn,Equator
Which continents are entirely in the Southern Hemisphere?,B,"South America, Africa, and Australia",Australia and Antarctica,"South America, Australia and Antarctica",South America and Australia
"Which continents (landmasses, not peripheral islands) are entirely in the Northern Hemisphere?",D,North America and Europe,"Europe, Africa and Asia","North America, Africa, and Asia","North America, Europe, and Asia"
Which continents are entirely in the Western Hemisphere?,D,"North America, Europe, and Asia","Europe, Asia, Africa, Australia",Australia and Antarctica,North America and South America
Which feature on a map helps determine direction?,C,a key,a legend,a compass rose,a scale
Which of these is not a type of map projection?,B,Robinson,Crusoe,Mercator,Interrupted
Which of these continents is largest (by territory)?,C,South America,Antarctica,North America,Europe
Which of these countries is smallest (by territory)?,C,Seychelles,Liechtenstein,San Marino,Marshall Islands
Which of these US cities is largest (by population)?,A,Houston,Phoenix,Philadelphia,San Antonio
Which of these mountains is highest?,B,Puncak Jaya,Mount McKinley,Mount Elbrus,Mount Kilimanjaro
Which of these lakes is deepest?,C,Caspian Sea,Malawi or Nyasa,Tanganyika,Issyk-Kul
Which of these rivers is longest?,B,Lena,Huang,Amur,Ob-Irtysh
Which of these seas is largest?,C,Bering,Arabian Sea,Mediterranean,Gulf of Mexico
Which of these deserts is largest?,B,Chihuahuan,Syrian,Thar,Great Sandy
Which of these inhabited places is wettest?,A,Moulein,Sylhet,Baguio,Lae
Which of these oceans has the greatest depth?,A,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean
"The rivers - the Tajo, the Ebro, the Duero, and the Guadiana, are located in this country.",C,Columbia,Portugal,Spain,Brazil
"The volcanoes - Akan, Aso, Mount Fuji and Rausu are located in this country.",A,Japan,Malaysia,North Korea,Indonesia
"Onega, Khanka and Chudskoye are three of the many lakes in this country.",D,Kazakhstan,Mongolia,Ukraine,Russia
The valleys of the Yellow River and the Pearl River are two of the seven main national valleys in this country.,B,Burma,China,Thailand,India
"Pico da Bandeira, Pico do Cruzeiro and Pedra da Mina are three of the numerous mountains located in this South American country.",C,Argentina,Chili,Brazil,Peru
Chauvet Cave and Meyrieres Cave are two caves located in this European state.,A,France,Netherlands,Spain,Belgium
Kainji Lake and Lake Chad are considered lakes of this country.,B,Niger,Nigeria,Cameroon,Chad
"Mitchell, Jardine, Staaten, Flinders, Leichhardt, and Nicholson are just few of the rivers in this country.",B,Indonesia,Australia,Papua New Guinea,New Zealand
