Questions,Correct,A,B,C,D
Immanuel Kant criticized Emanuel Swedenborg and termed him a “spook hunter”.,A,True,False,,Q Clouds are made up of these.
This formation is a conical hill or mountain. It is formed by mantle material being pressed through an opening in the Earths crust.,A,A volcano,A hill,An earthquake,A geyser
"Japan suffers from this event very often. It is the sudden, light or violent movement of the earths surface caused by the release of energy in the earths crust.",B,Volcano,Earthquake,Tide,Tsunami
It is the only continent that does not have land areas below sea level.,C,Australia,South America,Antarctica,Arctica
It is the longest river in the world,C,Themes,The Amazon,The Nile,Danube
"Why do travelers to La Paz, Bolivia, often become ill as soon as they arrive?",D,Because of the high temperature,Because of the humidity,Because of the soil quality,Because of the altitude
"In the US, why do we change our clocks on the daylight saving time dates in April and October?",A,To conserve energy,To increase the hours of the day,To extend the working day,Because the tourist period in most countries starts in May
These are places of arid land with really low rainfall and high tempertures variation. Their vegetation is insignificant and the population of people and animals is very limited.,D,Oceans,Raiforests,The equator,Deserts
This is a gemstone made by fossilized tree sap that is at least 30 million years old.,B,Obsidian,Amber,Tourmaline,Malachite
This is the largest island on Earth and one third of it is a national park.,A,Greenland,Madagaskar,Australia,Alaska
Which of these organs has no known function in the human body?,B,tonsils,appendix,uvula,pineal gland
The main function of this organ of respiration is to transport oxygen from the atmosphere into the bloodstream.,D,stomach,diaphragm,trachea,lung
This gland is shaped like a butterfly and helps regulate energy in the body.,B,parathyroid,thyroid,adrenal,thymus
"The cerebellum section of the brain controls the fine movement and equilibrium, among other things.",A,True,False,,Q These organs are very sensitive and often fail in people with very high blood pressure or diabetes.
Tooth enamel is the hardest substance in the body.,B,False,True,,Q This is one of the first signs of pregnancy.
This doctor takes care of you and your baby during pregnancy.,C,Psychologist,Periodontist,Obstetrician,Pediatrician
What is the most common method of child birth?,B,Cesarean,Vaginal,Water birth,In Vitro Fertilization
The mother determines the sex of the baby.,A,False,True,,Q What are common side effects of pregnancy?
"How far along are you approximately, when you feel the baby move for the first time?",D,10 weeks,35 weeks,2 weeks,20 weeks
What is suggested that you not do several hours before you go into labor?  It could get you embarrassed.,D,Eat fish,Have sex,Talk on the phone,Eat food
What is also delivered along with the baby or immediately after its birth?,C,Feet,Shoulders,Placenta,Handbook
