Questions,Correct,A,B,C,D
In what fictional city is the TV show Futurama set?, New New York,New Chicago,New New York,New San Francisco,None of these
What is the lowest ranking species in the Covenant hierarchy in the Halo series?, Grunt,Drone,Brute,Elite,Grunt
Who controls the Flood in the Halo series?, Gravemind,Gravemind,The Prophet of Truth,The Arbiter,No one
What is a SPARTAN in the Halo series?, All of these,A Genetically modified super soldier,A higher ranking soldier than a ODST,Troopers that went through military training at the age of five,All of these
What species is the Didact in the Halo series?, Forerunner,Forerunner,Precursor,Promethean,Yamne
What does UNSC stand for in the Halo series?, United Nations Space Command,None of the above,United Nations Space Council,United Nations Space Command,Unified Nations Supreme Court
What is the largest UNSC ship in the Halo series?, UNSC Infinity,UNSC In Amber Clad,UNSC Infinity,UNSC Spirit of Fire,UNSC Pillar of Autumn
What city does Halo 3 ODST take place in?, New Mombasa,Voi,New Mombasa,Toronto,New York
What is the largest species of the Covenant in the Halo series?, Hunter,Brute,Hunter,Jackal,Elite
Who made the fictional Mother Brain and for what purpose?, The Chozo built her to be a organic Supercomputer.,The Galactic Federation built her as a next generation Aurora Unit.,It is unknown who made her but she was made to control Zebes.,The Space Pirates built her to be one of their generals.,The Chozo built her to be a organic Supercomputer.
How did the Alimbics become extinct in the Metroid series?, The entire species used up their life energy to imprison Gorea.,They discovered Phazon and developed Phazon Madness causing them to wipe each other out.,Gorea wiped them out.,The entire species used up their life energy to imprison Gorea.,The Metroids wiped them out.
What creature passes on the X Parasite to Samus in the Metroid series?, Hornoad,Metroid,Space Pirate,Kihunter,Hornoad
Who is the Deleter in the Metroid series?, James Pierce,Lyle Smithsonian,Adam Malkovich,K.G Misawa,James Pierce
An ancient Chozo prophecy predicts the coming of Phazon and the Metroid Prime. In this prophecy the Metroid Prime is referred to as which of the following?, Worm,Worm,Beast,Destroyer,Consumer
What planet is Samus from  in the Metorid games?, K-2L,It is unknown,K-2L,Norion,Zebes
What is the name of the enemy faction in the first N.O.V.A?, Xenos,Xenos,Volterites,Judgers,The Dominion
Who helps Kal Wardin find the Judger artifact aboard Therrius in N.O.V.A?, MazRah,Prometheus,Yelena,MazRah,Rufus
Which Xeno is capable of teleporting in N.O.V.A?, Heavy Demon,Heavy Demon,Red Demon,Imp,Fiend
What is the name of the damsel you have to save in the classic arcade game Donkey Kong?, Pauline,Peach,Daisy,Pauline,Dixie Kong
"Which of these was a name that game character, Mario, was once called?", Jumpman,Koopa,Plumberio,Jumpman,Luigi
"Who or what turned Warios treasure into monsters in the game, Wario World?", The black jewel,Kemmy Koopa,Lemmy Koopa,The black jewel,Bowser
"In the Mario games, what animal is a paratroopa?", A turtle,A bird,A lizard,A turtle,A tiger
"When first created, Mario game character, Birdo, was what?", A boy,A dog,A boy,A girl,A bird
Who is the last boss in video game Paper Mario 2?, Shadow Queen,Gloom Tail,Bowser,Shadow Queen,Cackletta
Where does the popular video game character Mario live?, The Mushroom Kingdom,The Koopa Kingdom,The Kingdom of Sarasaland,The Mushroom Kingdom,Yoshi Island
What is Marios nationality according to Nintendo video games?, Italian,Italian,American,Mexican,British
Why does Mario wear a red cap in the Mario series of games?, The creators didnt have the technology to animate his hair.,The creators didnt have the technology to animate his hair.,He is bald.,He cant make his hair neat.,He likes his cap.
What effect does the Super Mushroom have on Mario in the popular series of video games?, It makes him bigger.,It makes him bigger.,None,It makes him impervious to danger.,It makes him smaller.
What is the name of the land where most of the Legend of Zelda games take place?, Hyrule,Hylia,Hyrule,Sacred Realm,Termania
Which monster made its first appearance in the game The Legend of Zelda: Majoras Mask?, Chu-Chu,Chu-Chu,Armos,Keese,Octorok
Which one of the Legend of Zelda games does not feature the same Link as the others?, Wind Waker,Ocarina of Time,Links Awakening,Wind Waker,Majoras Mask
Which of the following is not an item that Link uses in the Legend of Zelda series of games?, A spear used for immobilizing enemies,A magical leaf used for flying,A spear used for immobilizing enemies,A jar that can suck stuff into it and shoot out gusts of wind,A candle for shooting fire at enemies
In the Legend of Zelda series of games Link has not worn a tunic in what colour?, yellow,yellow,blue,red,green
Which games were included in the 2003 Legend of Zelda Collectors edition that became available on the Nintendo GameCube?," The Legend of Zelda, The Adventure of Link, Ocarina of Time, Majoras Mask","The Legenda of Zelda, The Adventure of Link, A Link to the Past, Ocarina of TIme","Orcale of Seasons, Orcale of Ages, Links Awakening, and Minish Cap","The Legend of Zelda, The Adventure of Link, Ocarina of Time, Majoras Mask","A Link to the Past, Majoras Mask, Ocarina of Time, Wind Waker"
"Which Final Fantasy 3 character is known for blitzes such as Bum Rush, Pummel, and Suplex?", Sabin,Edgar,Setzer,Locke,Sabin
What character from the Final Fantasy series used a weapon called the Buster Sword?, Cloud Strife,Sephiroth,Squall Leonhart,Cloud Strife,Seifer Almasy
What was the name of the summoned creatures that aided the characters in the Final Fantasy 8 game?, Guardian Forces,Materia,Summonings,Espers,Guardian Forces
Which character was the main villain in the American Final Fantasy 3 game?, Kefka,Sin,Kefka,Garland,Sephiroth
Which Final Fantasy game was released in North America on 7 September 1999?, Final Fantasy 8,Final Fantasy 10,Final Fantasy 9,Final Fantasy 8,Final Fantasy 7
Which one of these Final Fantasy characters didnt own an airship?, Rinoa Heartilly,Setzer Gabbiani,Daryl,Rinoa Heartilly,Cid Highwind
What year was the first Final Fantasy game released in Japan?, 1987,1989,1988,1990,1987
"This character, who has appeared in nearly every Final Fantasy game, usually provides transportation to the main characters.", Cid,Edgar,Cid,Sabin,Squall
In this Final Fantasy spin-off every new recruit starts out as a Squire or a Chemist., Final Fantasy Tactics,Final Fantasy Mystic Quest,Final Fantasy Tactics Advance,Kingdom Hearts,Final Fantasy Tactics
Final Fantasy X featured which mini-game?, Blitzball,Snowboarding,Blitzball,Triple Triad,Tetra Master
What is the cheat for getting 50 000 simoleans in the computer game The Sims 2?, motherlode,kaching,all of these,motherlode,simoleons_$$$
What are the expansion packs available for The Sims 2 game?," University, Night Life, Family Fun, Open for Business","Odd Jobs, Pets",All of these,"University, Night Life, Family Fun, Open for Business","Makin Magic, Holiday, Party"
"What is the name of the robot in The Sims 2, that fetches take-away food?", MunchieBot,HungryBot,MunchieBot,Bot,FoodBot
This class has the ability to smite evil., Paladin,Rogue,Paladin,Ranger,Sorcerer
"This race doesnt sleep, they meditate instead.", Elf,Dwarf,Elf,Human,Changeling
Which of these is not a feat?, Knowledge Arcana,Quick Draw,Knowledge Arcana,Forge Ring,Toughness
"How far can a medium sized, unencumbered creature walk in one round?", 30 feet,20 feet,50 feet,30 feet,10 feet
Which class casts arcane magic innately?, Sorcerer,Ranger,Cleric,Wizard,Sorcerer
This 9th level wizard spell is sought after by many characters as a reward.  Many wizards also strive to learn this spell., Wish,Power Word Kill,Wish,Imprisonment,Gate
