Questions,Correct,A,B,C,D
What does the word cretin refer to?, An idiot,Cyst on the brain stem,None of these,An idiot,Swelling of the cerebrum caused by spinal fluid
Leaves of Grass, Walt Whitman,Carl Sandberg,T.S. Eliot,Robert Frost,Walt Whitman
At The Mountains of Madness, H.P. Lovecraft,H.P. Lovecraft,Peter Straub,Edgar Allan Poe,C.S. Lewis
Ape and Essance; Eyeless in Gaza; Point Counter Point, Aldous Huxley,J.D. Salinger,Aldous Huxley,Maya Angelou,William Butler Yeatts
1984; Animal Farm, George Orwell,Herman Hesse,Rudyard Kipling,George Orwell,Aldous Huxley
Return of the Native; Jude the Obscure; Far From the Madding Crowd, Thomas Hardy,Thomas Hardy,William Faulkner,Rudyard Kipling,James Dickey
The Antichrist; The Gay Science; Beyond Good and Evil; Thus Spoke Zarathustra, Frederick Nietzche,none of these,Frederick Nietzche,Amari Baraka,Stephen King
What language can Harry Potter speak?, Parseltounge,Goblin,English,Mermish,Parseltounge
What was Hagrid buying in Knockturn Alley?, Flesh-Eating Slug Repellent,Flesh-Eating Slug Attractor,Fresh-Skin Slug Repellent,Flesh-Eating Ant Repellent,Flesh-Eating Slug Repellent
"This book by James Joyce was forbidden by the US authorities for 15 years, because it was considered obsene. The ban was lifted in 1933.", Ulysses,Ulysses,Portrait of the Artist,Dubliners,Fanny Hill
This book about the life of a prostitute was written by John Cleland. It has been banned in the past due to frank sexual descriptions., Fanny Hill,Candide,Lysistrata,Fanny Hill,Decameron
This book tells the story of two women who meet and fall in love with each other. They openly declare their homosexuality to family and friends. Thats why the Kansas school system ordered the removal of all copies of this book from high school libraries., Annie on My Mind,Daddys Roommate,Andersonville,Annie on My Mind,Catch 22
This book led Austin Miles to the courts in 1992.  Miles was sued because his book was ...a vitriolic attack upon organized Christianity., Dont Call Me Brother,Leaves of Grass,Dictionary of American Slang,Jerusalem Delivered,Dont Call Me Brother
This book by Judy Blume was censored as it discussed adolescent sexuality in too much detail., Forever,Grapes of Wrath,Lolita,Freedom and Order,Forever
This book by George Orwell was banned as it was pro-communist., 1984,The Sun Also Rises,Coming Up for Air,1984,Deliverance
This Lewis Carrolls work was banned in China because in it humans and animals used the same language., Alices Adventures in Wonderland,Sylvie and Bruno,Alices Adventures in Wonderland,Through The Looking Glass,The Hunting of the Snark
Its translation into local languages was forbidden in Burma., The Bible,The Quran,The Cabala,Arabian Nights,The Bible
"This book was censored in 1985 in Cairo, Egypt as it contained obscene passages which posed a threat to the countrys moral fabric.", Arabian Nights,Arabian Nights,Don Quixote,Analects,Brave New World
An edition of Miltons works was bound in:, Human skin,Human skin,Golden plates,Bears fur,Used newspapers
Binding books with human hide was a common practice once. Why?, Because the narrative in the book was about the story of the hides owner,Because of lack of any other proper material,Because this sold the books more quickly than anything,Because the narrative in the book was about the story of the hides owner,Because it was fashionable at the time
The name of Cruella de Vil from 101 Dalmatians is meaningful because:, She wants the puppies for their fur,She actually likes cats and not dogs,She is the owner of the dalmatians,She doesnt give them any food,She wants the puppies for their fur
Who is the Shakespearean villain who had his own brother executed and innocent children killed because they were hindrances to his kingly ambition?, Richard III,Edmund,Richard III,Aaron the Moor,Othello
"According to psychologists villains in fairy-tales actually have an important role for the childrens mind formation, namely:", They help children decide what is bad,They help children decide what is bad,They make the story really funny,They are interesting models of behaviour,They always lose the battle
The famous evil female Baba Yaga comes from:, Russian folklore,A Norse legend,An Uzbekistanian fairy-tale,A Moroccan song,Russian folklore
"Harry Potter is concidered malicious literature by some, because:", It is about witchcraft,Most of its characters are strange beings,Its characters are mainly clad in black clothes,It comprises too many volulmes,It is about witchcraft
It turns out that people like reading about crime. The top-selling English-language author of all time is:, Agatha Christie,Agatha Christie,Ben Johnson,Edgar-Allan Poe,Virginia Woolf
"Who wrote about the early whodunit archetype, inspector Auguste Dupin?", Edgar Allan Poe,Georges Sands,Edgar Allan Poe,Washington Irving,Nathaniel Hawthorne
Dr. Alex Delaware is the creation of which of these authors?, Jonathan Kellerman,Jonathan Kellerman,Kathy Reichs,Faye Kellerman,Ross McDonald
"What is the name of Colin Creevys brother, who appears in the book Harry Potter and the Order of the Phoenix?", Dennis Creevy,Carson Creevy,Darian Creevy,Dennis Creevy,James Creevy
Why was Hagrid missing in the beginning of Harry Potter and the Order of the Phoenix?, He went hunting giants.,He went hunting unicorns.,He went looking for Dumbleodre.,He went looking for Sirius Black.,He went hunting giants.
What did Hermione do to Ron before she stormed out of the charms classroom in Harry Potter and the Half-Blood Prince?, She charmed little yellow birds to fly at Ron and peck him.,She charmed a desk to fly over to Ron.,She charmed pencils to fly and poke Ron.,She charmed little yellow birds to fly at Ron and peck him.,She charmed a chair to fly across the room at Ron.
"What was the name of the handsome, selfish teacher in Harry Potter and the Chamber of Secrets?", Professor Gilderoy Lockhart,Professor Gilderoy Lockhart,Professor Godric Gryffindor,Professor Severus Snape,Professor Cedric Diggory
"In Harry Potter and the Philosophers Stone, what was the password to the Gryffindor tower during Halloween?", Pig snout,Pig snout,Fairy lights,None of these,Zebras tail
"In Harry Potter and the Philosophers Stone, who gave Nearly-Headless Nick the rejection letter from the Headless Hunt?", Sir Patrick Delaney-Podmore,Sir Delaney Patrick-Podmore,Sir Sturgis Podmore,Sir Patrick Delaney-Podmore,Sir Bloody Baron
"In the Harry Potter series, who created the Ravenclaw House when Hogwarts was built?", Rowena Ravenclaw,Rowena Ravenclaw,Ronald Ravenclaw,Rowana Ravenclaw,Ricky Ravenclaw
What was the name of the child who delivered Ron his parcels in Harry Potter and the Goblet of Fire?, Nigel,Creevy,Dennis,Collin,Nigel
Who lost the list of passwords for the Gryffindor tower in Harry Potter and the Prisoner of Azkaban?, Neville Longbottom,Dean Thomas,Neville Longbottom,Ron Weasley,Padma Patil
"In Harry Potter and the Half-Blood Prince, who was bitten by the werewolf Fenfir Greyback?", Bill,Ron,Bill,Charlie,Percy
Who killed Dumbledore in Harry Potter and the Half-Blood Prince?, Professor Snape,Professor Binns,Lucius Malfoy,Professor Snape,Bellatrix Lestrange
What is James Potter called by Lily Evans in Harry Potter and the Order of the Phoenix?," A selfish, bullying toerag","A bullying, selfish git",A big-headed git,"A selfish, bullying toerag",An ignorant git
"What house was Cho Chang in, as explained in Harry Potter and the Prisoner of Azkaban, Order of the Pheonix, and Goblet of Fire?", Ravenclaw,Griffyndor,Slytherin,Hufflepuff,Ravenclaw
Who gave Dudley a pigs tail using a pink umbrella in the book Harry Potter and the Philosophers Stone?, Rubeus Hagrid,Draco Malfoy,Rubeus Hagrid,Vernon Dursley,Harry Potter
Who saved Harry from Voldemort in the Forbidden Forest in the first volume of the Harry Potter series?, Firenze,Firenze,Fred and George Weasley,Albus Dumbledore,Hermione Granger
In which Stephen King story do we meet the evil Randall Flagg?, The Stand,Salems Lot,It,Rose Madder,The Stand
In which Stephen King story do we meet a banker from Maine named Andy Dufresne?, Shawshank Redemption,Shawshank Redemption,Children of the Corn,Cujo,Needful Things
Paul Edgecomb is a character in which Stephen King story?, The Green Mile,Misery,Dolores Claiborne,Graveyard Shift,The Green Mile
Jud Crandall and Louis Creed are characters in which Stephen King story?, Pet Sematary,Christine,Pet Sematary,The Lawnmower Man,Night Shift
In which Stephen King story do we meet a red-headed character named Malachai?, Children of the Corn,Children of the Corn,The Tommyknockers,Firestarter,The Shining
In which Stephen King story are we introduced to a recovering alcoholic named Jack Torrance?, The Shining,The Shining,Creepshow,The Boogeyman,Thinner
"Billy Halleck, a rather rotund lawyer, is a character from which Stephen King story?", Thinner,Insomnia,Thinner,Rose Madder,Storm of the Century
The paraplegic Marty Coslaw is a character in which Stephen King story?, Silver Bullet,The Stand,Bag of Bones,Night Shift,Silver Bullet
In which Stephen King story to we meet the intriguing stranger Andre Linoge?, Storm of the Century,Misery,Salems Lot,Carrie,Storm of the Century
The former nurse Annie Wilkes is a character from which Stephen King story?, Misery,Dolores Claiborne,Rose Madder,Firestarter,Misery
Pennywise is introduced to us in a storm sewer from which Stephen King story?, It,Creepshow,Pet Sematary,It,Needful Things
Johnny Smith is a character that awakens from a coma in which Stephen King story?, The Dead Zone,The Green Mile,The Dead Zone,The Tommyknockers,Graveyard Shift
Arnie Cunninghams character is a nerdy high school student from which Stephen King story?, Christine,Children of the Corn,Christine,Cujo,Carrie
"What fantasy series tells us first about a sword, then about the elfstones and finally about a wishsong?", Shannara,Shannara,Dragon Riders of Pern,Sword of Truth,Chronicles of Narnia
"In this sci-fi story, a young boy is given advanced training and then tricked into destroying an invading an alien fleet.", Enders Game,Enders Game,The Boat of a Million Years,Wisdom Beyond Fear,Harsh Reality
Which author describes the worlds of the Belgariad and the Malloreon?, David Eddings,David Eddings,Terry Goodkind,J. R. R. Tolkien,Robert Jordan
The fictional spice-drug Melange has a central role in which Sci-fi epic?, DUNE,The Black Legion,The Pirates of Orion,War of the Worlds,DUNE
"This fantasy series features channelers, who can control the One Power, a mighty force that comes from the True Source, and is separated into two halves: a male part -saidin, and a female one - saidar.", The Wheel of Time,The Wheel of Time,Running with the Demon,Ring World,Corinthia
"This series depicts a unicorn-riding wizard, who is actually a contestant in a game show, in the futuristic world of Proton.", Apprentice Adept,Endless Recursion,Xanth,Apprentice Adept,The Divided Wolrd
"This popular fantasy series tells the story of a small human-like character, sent on a mission to save the world. He has to destroy an item of dark and terrible power by casting it into the fires of the mountain, where it was made.", Lord of the Rings,The Wheel of Time,The Chronicles of Narnia,The Sword of Truth,Lord of the Rings
"Which Fantasy Series tells the story of  the War Wizard, Richard Rahl?", The Sword of Truth,The Wheel of Time,Greystone Trilogy,The Sword of Truth,Battle Mage Trilogy
Which sci-fi classic features the story of an alien invasion thwarted by earths microorganisms?, War of the Worlds,Speaker for the Dead,Close Encounters,2001: Space Odyssey,War of the Worlds
Which fantasy series by C.S. Lewis includes a book entitled The Voyage of the Dawn Treader?, The Chronicles of Narnia,The Magic of Xanth,The Chronicles of Narnia,Lord of the Rings,The Pirates of Psion
"In the novel Gone with the Wind, what is Scarlett O Haras first name?", Katie,Scarlett,Carreen,Melanie,Katie
Which war is described in the novel Gone with the Wind?, The Civil War,The war in Iraq,The war of 1812,The Revolutionary War,The Civil War
"In the novel Gone with the Wind, what was the name of Scarletts first house -- the house she had her childhood in and loved more than anything?", Tara,Tara,Leps,Ward,Yern
How many children did Scarlett have in the novel Gone with the Wind?, 3,3,4,1,6
"In the novel Gone with the Wind, what were the names of the two slaves Scarletts father bought, and what relationship did they have?"," DIlcey and Prissy, mother and daughter","Dilcey and Prissy, cousins","DIlcey and Prissy, mother and daughter","Mammie and Prissy, sisters","Mammie and Dilcey, best friends"
"Name the 19th century novel, which begins with the following sentence: ‘It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.’", Pride and Prejudice,Sense and Sensibility,North and South,Pride and Prejudice,Vanity Fair
