Questions,Correct,A,B,C,D
"The controversial lyrics of this song by The Rolling Stones include, Its Down to me, the way she talks when shes spoken to",B,Heart of Stone,Under My Thumb,Play With Fire,Its All Over Now
"Mick Jagger sings Baby, baby, theres fever in the funk house now on this song.",A,Tumbling Dice,Gimme Shelter,Street Fighting Man,Jumpin Jack Flash
Lose Your Dreams and you will lose your mind are lyrics from this 1967 hit by The Rolling Stones.,D,As Tears Go By,(I Cant Get No) Satisfaction,Shes A Rainbow,Ruby Tuesday
"Part of this song by The Rolling Stones goes, We decided that we would have a soda - my favorite flavor, cherry red?",D,Jumpin Jack Flash,Hot Stuff,Mothers Little Helper,You Cant Always Get What You Want
"The lyrics of this song by the Rolling Stones include the phrase Rape, murder!",D,Sympathy for the Devil,Street Fighting Man,Harlem Shuffle,Gimme Shelter
"Jon Bon Jovi, Richie Sambora, Alex John Such, Tico Torres, Dave Bryan",A,Bon Jovi,Whitesnake,Cinderella,Def Leppard
"Don Dokken, George Lynch, Jeff Pilson, Mick Brown",D,L. A. Guns,Guns N Roses,Faster Pussycat,Dokken
"Bret Michaels, Bobby Dall, Rikki Rockett, C.C DeVille",B,Cinderella,Poison,New York Dolls,Motley Crue
"Fred Coury, Tom Keifer, Eric Brittingham, Jeff LaBar",B,Great White,Cinderella,Ratt,Whitesnake
"David Coverdale, Rudy Sarzo, Tommy Aldridge, Steve Vai",D,Great White,Poison,Tesla,Whitesnake
"Dave The Snake Sabo, Rachel Bolan, Sebastian Bach, Rob Affuso, Scott Hill",D,Bon Jovi,W.A.S.P,Motley Crue,Skid Row
"Tommy Lee, Vince Neil, Nikki Sixx, Mick Mars",D,Poison,Great White,Whitesnake,Motley Crue
"Audie Desbrow, Jack Russell, Michael Lardie, Tony Montana, Mark Kendall",C,Motley Crue,Poison,Great White,Whitesnake
"Troy Luccketta, Brian Wheat, Frank Hannon, Tommy Skeoch, Jeff Keith",C,Metallica,Iron Maiden,Tesla,Twisted Sister
"James Hetfield, Lars Ulrich, Kirk Hammett, Jason Newsted",A,Metallica,Metal Church,Twisted Sister,Testament
Every breath you take,,very move you make,very bond you break,very ...,step you take
Well I guess it would be nice,,f I could touch your body,know not everybody,..,Has got a body like you
Everybodys talking all this stuff about me,,hy dont they just let me live (Tell me why),dont need permission,..,Make my own decisions oh
"If I fail, if I succeed",,t least Ill live as I believe,o matter what they take from me,..,They cant take away my dignity
Sleight of hand and twist of fate,,n a bed of nails she makes me wait,nd I wait without you,ith or without you,ith or without you
That its only the thrill,,f boy meeting girl,pposites attract,ts physical,nly ...
I have seen the writing on the wall.,,ont think I need anything at all.,o! dont think Ill need anything at all.,ll in all it was all just ...,bricks in the wall
"Gonna give you all my love, boy",,y fear is fading fast,een saving it all for you,ause ...,only love can last
And shell tease you,,hell unease you,ll the better just to please ya,"hes precocious, and she knows just",hat it takes to ...
Burning the ground I break from the crowd,,m on the hunt Im after you,"smell like I sound, ...",Im lost and Im found,because Im a hound
This was the first digitally recorded track to become a hit in 1980.,B,Dirk Wears White Soxs,Mirror in the Bathroom,We Dont Talk anymore,Zenyatta Mondatta
This song was the top single in 1981.  This song broke the US Top 100 chart longevity record by spending 106 weeks on it.,A,Tainted Love,Dead Ringer,Oh Julie,One Day in Your Life
This hit of Olivia Newton-John and its video made athletic wear fashionable in 1981.,C,Karma Chameleon,Synchronicity,Physical,Blue Monday
