Questions,Correct,A,B,C,D
LFD2 was banned in Australia.,B,False,True,,Q One of the remnants of this states former status as a possession of France is the fact that it was named after a French king.
"No state has as many different species of mammals as this one. The average square mile of land contains 1.4 elk, 1.4 pronghorn antelope, and 3.3 deer.",D,Nebraska,Nevada,Colorado,Montana
"Arizona became the 48th state on February 14, 1912.",B,False,True,,Q The largest lake in this state is Lake Okeechobee. The state is also home to one of the two naturally round lakes in the world.
One of the following pairs (state - its capital) is wrong.,D,Kentucky - Frankfort,Kansas - Topeka,Maine - Augusta,North Dakota - Fargo
The 3rd Monday in April is Patriots Day - a legal holiday in this state.,D,California,Washington,Oregon,Massachusetts
Francis Drake was 66 years old at his inauguration and the oldest governor of this state.,D,Nevada,Ohio,Minnesota,Iowa
What is the state capital of Washington?,A,Olympia,Seattle,Walla Walla,Spokane
What is the state capital of Oregon?,D,Bend,Portland,Eugene,Salem
What is the state capital of California?,A,Sacramento,Los Angeles,San Diego,San Francisco
What is the state capital of Idaho?,A,Boise,Idaho Falls,Pocatello,Coeur DAlene
What is the state capital of Nevada?,C,Reno,Las vegas,Carson City,Austin
What is the state capital of Utah?,D,Cedar City,Provo,Price,Salt Lake city
What is the state capital of Arizona?,A,Phoenix,Kingman,Tucson,Flagstaff
What is the state capital of Alaska?,B,Kodiak,Juneau,Anchorage,Fairbanks
"During World War II, this country was able to successfully defend its freedom and resist invasions by the Soviet Union - despite some loss of territory. It joined the European Union in 1995.",C,Poland,Czech Republic,Finland,Lituania
This country shares common boundaries with every South American country except Chile and Ecuador.,D,Colombia,Argentina,Bolivia,Brazil
"After gaining its independence in 1991, it has retained closer political and economic ties to Russia than any of the other former Soviet republics.",D,Ukraine,Latvia,Bulgaria,Belarus
"It was once the center of power for an empire.  Occupied by the allies in 1945, a state treaty ended its occupation in 1955 and recognized its independence.",C,Belgium,Denmark,Austria,Hungary
This country is home to the northernmost capital in mainland Europe?,C,Sweden,Denmark,Finland,United Kingdom
It is the sixth largest country and home of The Doctor breeze.,C,Ukraine,Canada,Australia,United Kingdom
Its three-year-old Socialist government was overthrown in 1973 by a dictatorial military regime led by Augusto Pinochet.,C,Peru,Paraguay,Chile,Uruguay
"This country dominates the Aegian Sea and possesses an archipelago of about 2,000 islands.",C,Italy,Cyprus,Greece,Turkey
"This country controls the Sinai Peninsula.  Following the completion of the Suez Canal in 1869, it became an important world transportation hub.",B,Thailand,Egypt,Hong Kong,Libya
This countrys national holidays include:,,"Independence Day, 10 December (date of independence from Spain, 1898)","20 May (independence from US administration, 1902)",Rebellion Day 26 July (1953),Cuba
The first American capital.  It has a nick name coined by musicians - it means  to play the big time.,B,Washington D.C.,New York,Boston,San Francisco
The cable cars of this city are the only mobile National Monument.,B,Oklahoma,San Francisco,Nevada,Los Angeles
"When broken down into kanji, the name of this capital city means east and capital.",D,Nagoya,Osaka,Kyoto,Tokyo
The Seine river divides this city into the Rive Droite (French for Right Bank) north of the river and the Rive Gauche (French for Left Bank) south of the river.,D,Lille,Lyon,Marseille,Paris
"This city situated south of China is made up of 230 islands, Lantau Island being the largest.",D,Taipei,Peking,Shanghai,Hong Kong
This city is the only one located on two continents.,B,Kadis,Istanbul,Tanjer,Athens
In the devilish year of  1666 a great fire occured in this European capital city. Half of it burned down.,D,Rome,Paris,Vienna,London
One of this citys most prominent landmarks is the Brandenburger Tor (Brandenburg Gate).  It once marked the boundary between East and West Germany.,A,Berlin,Munchen,Frankfurt,Bonn
This city is famous for its water-channel traffic. It has been designated a World Heritage Site.,C,Barri,Naples,Venice,Rome
This Peruvian city is stuck between the desert and the sea. It is also known as The City of the Kings.,D,Trujillo,Cuzco,Chimbote,Lima
Which of these U.S. states is not a Four Corners state?,D,New Mexico,Utah,Colorado,Wyoming
The Appalachian Trail divides two states as it makes its trek through Great Smoky Mountains National Park. Name the states it divides.,B,New Hampshire and Maine.,North Carolina and Tennessee.,West Virginia and Maryland.,Georgia and Alabama.
Is the state of North Carolina south of the Mason - Dixon line?,A,Yes,No,,"Q Sullivan street (in Sullivan County) serves as the state line, running east and west, effectively bi-locating this town in two states.  Name the city and the two states."
"The town of San Ysidro is located in what state, near what border?",A,"California, near the border with Mexico.","Washington, near the border with Oregon","California,  near the border with Arizona","Iowa, near the border with Missouri"
The border between Georgia and Mississippi is also a time zone boundary.,B,True,False,,"Q Although Angel Falls bear the notion of something angelic, the phenomenon is named after Jimmy Angel, a barnstorming pilot from Missouri, who has become a modern legend."
Mount Fuji is a nearly perfectly shaped volcano.  It has been worshipped as a sacred mountain.,C,Thailand,China,Japan,Malaysia
Mount Everest was formed some 50 million years ago. It rises a few meters each year because of geological forces. On the border between which two countries is this mount situated?,C,Sumatra and China,Thailand and Nepal,China and Nepal,Nepal and India
"From forest to desert, the Grand Canyon has the most extreme nature climate.",C,Mexico,Canada,USA,Brazil
"Through thousands of years in existence, Niagara Falls has been eroding at a rate of 4 feet (1.5 meters) per year.",C,Mexico,Equador,Canada,Argentina
The name of mount Kilimanjaro comes from Swahili and means the mountain that glitters.,A,Tanzania,Zimbabwe,Uruguai,Zambia
The Great Barrier Reef consists of many colonies of corals. That is why it is sometimes referred to as the largest living animal in the world.,B,Armenia,Australia,Austria,Anrgentina
"Krakatoa volcano caused the most violent volcanic eruption recorded in worlds history.  In 1883, it destroyed 75 % of the territory of its island.",C,Thailand,Malaysia,Indonesia,Surinam
"Local Batonga people had named Victoria Falls Mosi-Oa-Tunya, which stands for the smoke that thunders.",B,Malawi,Zimbabwe,Mozambique,Namibia
The scientific name for the Northern Lights phenomenon is Aurora Borealis. They are often mistaken for UFOs.  Where do they happen?,D,In the southern part of our planet,On the Equator,In Newfoundlend,In the northern part of our planet
"Nicknamed the Grand Canyon State, it entered the Union on Feb 14, 1912.",D,Utah,Nevada,New Mexico,Arizona
"This US state, nicknamed The Sunshine State, is famous with its beaches and theme parks.",D,Texas,California,Georgia,Florida
"Nicknamed the Treasure State, this western US state is fourth largest in area.",C,Nevada,Oregon,Montana,California
"Nicknamed the Ocean State, it is the smallest US state.",D,Hawaii,Delaware,New Hampshire,Rhode Island
"The Beehive State requested admission to the Union in 1849 under the name Deseret.  After polygamous marriage practices were discontinued, it was finally admitted in 1896, under what name?",D,Arizona,Colorado,South Dakota,Utah
