Questions,Correct,A,B,C,D
In which US state is the active Mount Rainier volcano located?, Washington,Michigan,Ohio,Washington,New York
"In 1990, this 5000 year old body was found in the Alps. Scientists discovered some tattoos on his leg which indicated that acupuncture was used as far back as the Copper-stone Age.", Oetzi,Big Foot,Sasquatch,Nessie,Oetzi
"After unsuccessful  talks about oil production and debt repayment, Iraq occupied Kuwait.  In January 1991 the US launched an air attack against military targets in Iraq and Kuwait in this operation.", Desert Storm,Matador,BOLERO,Determined Force,Desert Storm
"It is the process of producing identical copies of a DNA segment asexually.  In 1996 the first successful one of an animal was made. The animals name was Dolly.  Dolly later died, but Richard Seed announced that he intended try it on humans.", Cloning,Organ Transplant,Cloning,Bloodless Surgery,Laser Surgery
"This kind of music became largely popular in Europe and America in the 1990s. It is a melodic, free form combination between techno and house, having hypnotic qualities. The first distinctive track of this kind was Age Of Love, released in 1990.", Trance,Electro,Trance,Techno,Dance
"This womans death was arguably the most shocking one of the decade. She died in 1997 in a car crash while evading paparazzi. The woman was taken to a hospital, but the two-hour efforts of surgeons to save her life were unsuccessful.", Princess Diana,Greta Garbo,Nancy Marchand,Madam C. J. Walker,Princess Diana
"This union, made up of European countries, was established by the Maastricht Treaty in 1992. Starting as a trade body it is now an economic and political partnership between its members.", The European Union,American Labor Union,Oxford Union,The European Union,European Trade Union
"Although the first one was sent in 1971, it became widely popular in 1998. Its popularity caused explosive growth of the internet.", The E-mail,The Chat programs,The URL,The E-mail,The Website
"Impeachment stands for quickly removing dangerously criminal officials from high office. The Impeachment Trial in the Senate for this US President commenced on January 7, 1999.", Bill Clinton,George Bush,Ronald Reagan,Bill Clinton,Richard Nixon
"On August 17, 1999 this disaster took the lives of 15 000 and injured 23 000 people in western Turkey.", Earthquake,Earthquake,Tsunami,Avalanche,Volcano eruption
"These became more advanced and more popular in the 1990, with some of the most influential ones being  the Super Nintendo Entertainment System, the Sony Playstation, and the Sega Dreamcast.", Video Game consoles,Dating sites,Virtual reality systems,Video Game consoles,Computer games
The Punic Wars were a series of three wars fought between these two powers., Rome and Carthage,Rome and Athens,Athens and Sparta,Carthage and Athens,Rome and Carthage
The 1938 incorporation of Austria in Greater Germany under the Nazi Regime is known as this., Anschluss,Ansatz,Abwer,Anschluss,Ahnentafel
Henry Kissinger held this US post from 1974 to 1977., Secretary of State,President of the Senate,Speaker of the House of Representatives,National Security Advisor,Secretary of State
One of these cities has been Japans capital in the past., Kyoto,Kyoto,Yokohama,Hiroshima,Osaka
"Philip II of France, Richard I of England and Frederick I led this campaign.", Third Crusade,Childrens Crusade,Albigensian Crusade,Fourth Crusade,Third Crusade
Yu the Great was the legendary first Chinese monarch of this dynasty., Xia Dynasty,Xia Dynasty,Qing (Manchu) Dynasty,Ming Dynasty,Yuan Dynasty
"This German general was nicknamed The Desert Fox due to the skillful military campaigns he waged in North Africa, during World War II.", Erwin Rommel,Erwin Rommel,Hermann Goring,George Patton,Bernard Montgomery
What was the name of the first jet-powered fighter used in World War II?, Me-262,P-51,Hurricane,Me-262,MIG-3
Which member of the Nazi Party was known as Adolph Hitlers first architect of the Third Reich?, Albert Speer,Rudolph Hess,Albert Speer,Hermann Goring,Joseph Mengele
"The British evacuation from which French port was codenamed Operation Dynamo, in 1940?", Dunkirk,Brest,Cherbourg,Dunkirk,Toulon
Which American politician said the following about liberty: They that can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety.”?, Benjamin Franklin,Benjamin Franklin,Thomas Jefferson,Abraham Lincoln,George Washington
"Which US President delivered the following words: Ask not what your country can do for you, ask what you can do for your country.?", John F. Kennedy,William J. Clinton,Franklin D. Roosevelt,Abraham Lincoln,John F. Kennedy
"Which US President said these words: A democracy is nothing more than mob rule, where fifty-one percent of the people may take away the rights of the other forty-nine.?", Thomas Jefferson,Abraham Lincoln,Thomas Jefferson,Benjamen Franklin,John F. Kennedy
"Which US President made the following statement: America stands for liberty, for the pursuit of happiness and for the unalienable right for life. This right to life cannot be granted or denied by government because it does not come from the government, it comes from the creator of life.?", George W. Bush,George W. Bush,Thomas Jefferson,John Adams,George Washington
"The M1 Carbine is the most mass produced small arm weapon in the United States. Even though it was mainly produced by the Inland Division of General Motors, its design belongs to this famous company.", Winchester,Winchester,Kalashnikov,GIAT Industries,Magnum Research Inc.
How many Medal of Honor citations have been issued during the Vietnam War?, 245,245,345,153,120
One of the worlds greatest generals. By  the age of 30 he ruled almost half of the world. This great leader died at the peak of his campaign at the age of 33.  His was taught by Aristotle., Alexander The Great,Alexander The Great,Darius,Julius Caesar,Augustus
"This Carthaginian general marched from Spain to Rome across the Alps.  14,000 of his 40,000 troops died because of the harsh climate.  Later, he won the Battle of Cannae.", Hannibal,Augustus,Gaius Marius,Lesius Quietus,Hannibal
"His saying, Veni Vidi Vici (I came I saw I conquered) is known all over the world.  His war feats clothed him with glory giving him political power.", Julius Caesar,Marcus Antonius,Julius Caesar,Augustus,Darius
This American general  led the invasion of Normandy.  He was also an American president from 1953 to 1961., Dwight Eisenhower,Dwight Eisenhower,George S. Patton,MacArthur,William H. Simpson
He was one of the best military officers of Russia during the World War II and involved in the taking of Berlin., Georgi Zhukov,Lavr Kornilov,Georgi Zhukov,Alexander Samsonov,Nicholas Nikolaevich
This island was Englands first overseas colony., Newfoundland,Rhodes,Newfoundland,Iceland,Greenland
"In 1962 Jamaica gained full independence from the United Kingdom, but before even becoming a British colony, Jamaica was possession of this country.", Spain,Spain,Portugal,Russia,Italy
"One of  the results of the Second Anglo-Dutch War, between England and the United Netherlands, was that the city of New Amsterdam was renamed to this.", New York,New York,New Jersey,New Mexico,New Orleans
"On July 1, 1997, the former British colony of Hong Kong reunified with the Peoples Republic of China. This man was the last governor of Hong Kong.", Chris Patten,Henry Tang,Chris Patten,Tung Chee Hwa,Donald Tsang
"What NBA team won their 16th NBA Championship title on June 8,1986?", Boston Celtics,Boston Celtics,Houston Rockets,L.A. Lakers,Chicago Bulls
Which of these songs was not on Bon Jovis chart-topping 1986 album Slippery When Wet?, Ill Be There for You,Ill Be There for You,Never Say Goodbye,Livin on a Prayer,Wanted Dead Or Alive
"When this significant event took place on January 28, 1986, students worldwide saw it on live television.", Space Shuttle Challenger explodes,A nuclear reactor at the Chernobyl nuclear plant explodes,Space Shuttle Challenger explodes,The United States Senate allows its debates to be televised,Pope John Paul II officially visits the Synagogue of Rome
"What southern sitcom, which debuted in 1986, are the following characters from: Julia, Suzanne, Mary Jo, Charlene, Anthony and Bernice?", Designing Women,Designing Women,Mamas Family,Its A Living,The Golden Girls
This was an attempt to establish the use of the metric system in the United States. However it was not accepted and the US never converted., The 1975 Metric Conversion Act,The 1975 Metric Conversion Act,IEEE Conversion RFC,The Common management interface protocol,ANSI Metric Conversions
"This suspension bridge collapsed due to resonance - a twisting pattern never seen before, took the bridge down.", The Tacoma Narrows Bridge,The John Hancock Bridge,Willamette River Pedestrian Bridge,The Tacoma Narrows Bridge,The Golden Gate Bridge
"In early 1985 the manufacturer of this drink changed the recipe of the product, but after months of complaints, it was forced by the consumers to restore the original formula.", Coca Cola,Coca Cola,Pepsi,Yoo-hoo,Dr. Pepper
"At the time, this was the most complex ship, employing safety measures unseen before.  She was double-bottomed and separated into 16 watertight compartments. Nevertheless, she sank on her maiden voyage.", Titanic,Titanic,Britanic,Andrea Doria,The Empress of Ireland
"This rap artist, born Stanley Kirk Burrell was known for his lavish tours and catchy hooks.  However, his attempted restyling as a gangsta-rapper was a failure", MC Hammer,MC Hammer,Marky Mark,Busta Rhymes,Vanilla Ice
"This aircraft was proposed by Boeing in the 80s, but never entered production due to excessive noise from its unducted fan engines and high production costs.", Boeing 7J7,Spruce Goose flying boat,Boeing 7J7,Boeing Business Jet,Boeing 737
"This tank was built during World War II, but had weight and speed issues.  It never saw battle.", Panzerkampfwagen VIII Maus,Panzerkampfwagen VIII Maus,Sturmpanzer IV Brummbr,M3A5 Grant,Heavy Tank Charron 2C
"This 15,000 ton, German-built ship maintained a route from Tallinn to Stockholm.  In 1994, it sunk to the bottom of the Baltic Sea due to a badly designed bow door.", Estonia Ferry,Estonia Ferry,Blak Bark of Ostend,Barge of Calais,Castor to Circe
Three of these political events occurred in the 80s. Which one happened earlier?, The Winter of Discontent in the UK,The Collapse of the Soviet Union,The USA invades Panama,The Winter of Discontent in the UK,The Velvet Revolution in Czechoslovakia
"All of these famous political leaders lost their power in the 80s, except one. Can you spot him?", Francois Mitterrand,Augusto Pinochet,Ceausescu,Francois Mitterrand,Gustav Husak
The TV-series Taxi was first released during this period., 1970s,1990s,1960s,1970s,1980s
One of these TV productions was not released in the 80s., Saturday Night Live,Dynasty,The Cosby Show,Saturday Night Live,L.A. Law
What Merovingian became king in the fifth century A.D.?, Clovis,Arpad,Clovis,Ethelred,Belisarius
"Archaic French is still spoken in the area of this once French colony, lost to the British in 1763.", Quebec,Quebec,Senegal ( West Africa),Haiti,Cambodia
In what year did the French Revolution begin?, 1789,1789,1693,1724,1637
In what year was Napoleon Bonaparte crowned emperor of France?, 1804,1807,1804,1810,1801
In what year did the French pull out of Indochina?, 1954,1949,1964,1954,1970
"What statesman became the first President, under the Fifth Republic of France, in 1959?", Charles De Gaulle,Albert Lebrun,Vincent Auriol,Charles De Gaulle,Rene Coty
In what year was Francois Mitterrand elected President of  France?, 1981,1975,1987,1993,1981
What French monarch was known as the Sun King?, Louis XIV,Louis X,Charles VII,Louis XIV,Henry III
"Although he spent 32 years as a criminal, this Wild West rogue killed only a single person. He was mainly engaged in robbing banks and became the first criminal to use an automobile for his escape.", Henry Starr,Burt Alvord,Henry Starr,Cherokee Bill,Frank Canton
"This man killed his first victim at the age of 12. By the time he was 15 he had become an expert shot. As he was almost 6 feet tall, strong and quick in shooting, people were afraid of him. However, the $1,300 reward made some ordinary citizens work out an elaborate plan to capture him.", Cherokee Bill,Dutch Charley,Billy the Kid,Butch Cassidy,Cherokee Bill
"This famous outlaw was very friendly and most of his shooting was done in self defense. He became an outlaw after someone murdered his employer, Tunstall, whom he loved as a father. At Tunstalls funeral, this outlaw swore that he would kill every man who had been involved in the Tunstalls murder.", Billy the Kid,Jesse James,Billy the Kid,Juan Flores,Frank Jackson
"While in charge of the guardhouse at San Carlos, this outlaw left his post to chase a man whom he considered responsible for his fathers death. When he came back, he argued with his superior and shot him in the leg. Arizona territorial legislature offered a $5,000 cash reward, but he was never captured.", Apache Kid,Johnny Behind the Deuse,Pearl Hart,Apache Kid,Frank Jackson
"His first crime was breaking into a store and taking a pair of pants, leaving a message that he would pay later.  He went on to steal cattle from farmers, and later robbed the San Miguel Valley Bank robbery in Telluride, escaping with $20,000.", Butch Cassidy,Daniel Boone,Pancho Villa,Butch Cassidy,Buffalo Bill
"Although this criminal, who acted with his brother, would rob banks and trains, he was a favourite of the press of his day. In various journalistic materials he was often presented as the contemporary Robin Hood. It was a fact that he preferred to rob rich people, but it was simply because they had more money.", Jesse James,Jesse James,Bill Miner,Joaquin Murieta,Jim Reed
