Questions,Correct,A,B,C,D
"I would rather be a ghost drifting by your side as a condemned soul than enter heaven without you. Because of your love, I will never be a lonely spirit. (2000)"," Crouching Tiger, Hidden Dragon",Don Juan DeMarco,Ever After,"Crouching Tiger, Hidden Dragon",Dracula
There are only four questions of value in life. What is sacred? Of what is the spirit made of? What is worth living for? What is worth dying for? The answer to each is the same. Only love. (1995), Don Juan DeMarco,When Harry Met Sally,Don Juan DeMarco,Cant Hardly Wait,Ten Things I Hate About You
I have crossed oceans of time to find you. (1992), Dracula,Moulin Rouge,Notting Hill,A Knights Tale,Dracula
"I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible. (1989)", When Harry Met Sally,When Harry Met Sally,Wuthering Heights,Youve Got Mail,The Mask of Zorro
Love has given me wings so I must fly. (2001), A Knights Tale,A Knights Tale,Phenomenon,Ever After,Forget Paris
"It doesnt matter if the guy is perfect or the girl is perfect, as long as they are perfect for each other. (1997)", Good Will Hunting,Forest Gump,The Shawshank Redemption,Citizen Kane,Good Will Hunting
"I am someone else when Im with you, someone more like myself. (2001)", Original Sin,Sunrise: A Song of Two Humans,Trouble in Paradise,In America,Original Sin
"If he loved you with all the power of his soul for a whole lifetime, he couldnt love you as much as I do in a single day. (1992)", Wuthering Heights,Romeo and Juliet,Wuthering Heights,Shakespeare in Love,Sideways
"Take love, multiply it by infinity and take it to the depths of forever and you still have only a glimpse of how I feel for you. (1998)", Meet Joe Black,Moulin Rouge,My Best Friends Wedding,Message In A Bottle,Meet Joe Black
One of these James Bond movies was not released during the 80s., Moonraker,A View to a Kill,Octopussy,Moonraker,For Your Eyes Only
This is Babys real name in Dirty Dancing (1987)., Frances,Barbara,Frances,Susan,Jennifer
"In A Nightmare On Elm Street, Nancy lives on Elm Street, located in this fictional city in Ohio.", Springwood,Derry,Ambervale,Springwood,Blackwood County
"In the movie Rain Man, Raymond and Charlie are at the restaurant when a waitress drops a box of toothpicks. This prompts Raymond to instantly calculate the number of toothpicks on the floor. This was their number.", 246,246,250,321,123
One of these actors did not star in Tootsie., Larry Gelbart,Jessica Lange,Teri Garr,Dustin Hoffman,Larry Gelbart
Axel Foley in Beverly Hills Cop is originally a policeman from this city., Detroit,Detroit,Chicago,Denver,San Fransisco
Indiana Jones from the movie of the same name could write and speak this number of languages., 27,11,27,2,6
A group of Earth children help a stranded alien botanist return home is the plot outline of this movie., E.T. the Extra-Terrestrial,Star Wars: Episode VI - Return of the Jedi,The Hitch Hikers Guide to the Galaxy,Cyborg,E.T. the Extra-Terrestrial
What year did the movie The Shawshank Redemption hit the movie theatres?, 1994,1992,1994,1990,1996
What was the name of the Warden in the hit movie The Shawshank Redemption ?, Samuel Norton,Byron Hadley,Samuel Norton,Ellis Redding,Spencer Heywood
What decade was Andy Dufresne sent to the Shawshank prison in the movie The Shawshank Redemption?, 1940s,1940s,1920s,1930s,1950s
In the popular movie The Shawshank Redemption Andy Dufresne has a poster hanging on his wall in his jail cell. Who is the famous actress on this poster?, Rita Hayworth,Greta Garbo,Jayne Mansfield,Rita Hayworth,Bette Davis
In the movie The Shawshank Redemption Andy Dufresne had a best friend in jail named Red. Why did they call him Red?, It was short for his last name.,He had red hair.,It was short for his last name.,His favorite color was red.,He had a horrible temper.
"Andy Dufresne, the main character in the movie The Shawshank Redemption, asks Captain Byron Hadley for some suds for his fellow workers, while they are working together on the roof. What kind of beer did the prisoners get?", Strohs,Strohs,Budweiser,Amstel,Heineken
What was the budget for the movie The Shawshank Redemption?," $ 25,000,000","$3,000,000","$ 100,000","$ 10,000,000","$ 25,000,000"
"In the movie The Shawshank Redemption, the prisoners are shown watching what movie?", Gilda,Gilda,Its a Mad Mad World,Happy girl 1223 Strikes Again,The Three Stooges
Who directed the blockbuster movie Forrest Gump?, Robert Zemeckis,Steven Soderbergh,Robert Zemeckis,Tony Scott,John Hughes
"In the opening scene of the movie Forrest Gump, Forrest is sitting on a bench waiting to catch a bus in what southern U.S. city?", Savannah,Birmingham,Atlanta,Columbia,Savannah
Which U.S. president did Forrest NOT get to meet in person in the movie Forrest Gump?, Gerald Ford,Gerald Ford,Lyndon B. Johnson,John F. Kennedy,Richard M. Nixon
"In the movie Forrest Gump, Mrs. Gump (played by Sally Field) ran a boarding house where a young Forrest taught one of the special guests how to dance. Who was this special guest?", Elvis Presley,Fred Astaire,Elvis Presley,Dick Van Dyke,Gene Kelly
"In the self-titled movie, Forrest Gump appears on the Dick Cavett Show to talk about his visit to China.  Who was the other guest on the Dick Cavett Show sitting next to Forrest, wearing a U.S. Army jacket?", John Lennon,Abbie Hoffman,Jane Fonda,John Lennon,John Wayne
"In the movie Forrest Gump, Forrest joins the U.S. Army and becomes best friends with Benjamin Buford Blue (played by Mykelti Williamson). What was Benjamins nickname?", Bubba,Beau,Billy,Bennie,Bubba
"For which university did fictional character Forrest Gump play college football, earning All-American honors?", University of Alabama,University of Alabama,University of Florida,Auburn University,University of Georgia
"In the movie Forrest Gump, Jenny (played by Robin Wright-Penn) and Forrest were childhood friends. As they got older, Forrest went into the U.S. Army and Jenny became a folk singer at a local strip club, using this stage name.", Bobbie Dylan,Johnnie Cash,Abby Hoffman,Mickey Jagger,Bobbie Dylan
The famous fictional character Forrest Gump wins the Congressional Medal of Honor by saving most of the men in his squad. Forrest himself is wounded during his heroic rescue. Where is Forrest wounded?, in the buttocks,in the stomach,in the arm,in the leg,in the buttocks
"The Forrest Gump soundtrack was hugely popular, selling over 12 million copies. Which song/artist was not on the Forrest Gump soundtrack?", Satisfaction by The Rolling Stones,Satisfaction by The Rolling Stones,Break on Through (To the Other Side) by The Doors,California Dreamin by The Mamas and the Pappas,Fortunate Son by CCR
What was Forrests favorite book in the movie Forrest Gump?, Curious George,Cat in the Hat,Alice in Wonderland,The Chronicles of Narnia,Curious George
"In the movie Forrest Gump, what were the last words uttered by Pvt. Benjamin Blue to Forrest, just before he died?", I want to go home,I want my Mama,I want to go home,Am I going to make it?,What are we doing here?
"In the movie Forrest Gump, this actor played Lt. Dan Taylor, the commanding officer of Forrest when he first arrived in Vietnam.", Gary Sinise,Gary Sinise,Jack Nicholson,Ed Harris,Robert Duvall
Which 2001 movie is this audio clip from?, A Knights Tale,First Knight,A Knights Tale,Robin Hood: Prince of Thieves,Black Knight
"The movie Back to the Future, directed by Robert Zemeckis, was released in what year?", 1985,1955,1986,1987,1985
What was the name of Doc Browns dog in the film Back to the Future?, Einstein,Shep,Einstein,Edsel,Shaggy
"In Back to the Future, Doc Brown invented this device, which in his words is what makes time travel possible.", flux capacitor,transference capacitor,jauntinator,transcendental tripometer,flux capacitor
"In 1955, Doc Brown, one of the lead characters in Back to the Future lives on which street?", Riverside Drive,Maplewood Ave,John F. Kennedy Drive,Pine St,Riverside Drive
Where does Martys older brother work in 1985 in the movie Back to the Future?, Burger King,McDonalds,Burger King,Taco Bell,Wendys
"In 1955, when trying to convince his teenage father George McFly to ask Lorraine out, Marty appears in a radiation suit and says his name is what?", Darth Vader,Mr. Spock,Captain Kirk,Luke Skywalker,Darth Vader
"In the film Back to the Future, in 1955 Martys parents were supposed to go  a school dance, named what?", Enchantment Under the Sea,Enchantment Under the Sea,Enchanted Future,Sadie Hawkins Day Dance,Fish Under the Sea
"In Back to the Future, what did Goldie Wilson do in 1955, before becoming mayor?", Worked in the diner,Played in Marvin Berrys rock and roll group,He was a drifter,Pumped gas at the filling station,Worked in the diner
"What was the last name of Dorothy, the main character in the 1939 movie, The Wizard of Oz?", Gale,It was never mentioned,Grey,Gulch,Gale
"In the movie The Wizard of Oz, Dorothy lives with her aunt Em and her uncle whose name is what?", Uncle Henry,Uncle Harry,Uncle Henry,Uncle Charlie,Uncle Tom
