Questions,Correct,A,B,C,D
Three of these animals hibernate. Which one does not?,B,Mouse,Sloth,Frog,Snake
All of these animals are omnivorous except one.,D,Fox,Mouse,Opossum,Snail
Three of these Latin names are names of bears. Which is the odd one?,D,Melursus ursinus,Helarctos malayanus,Ursus minimus,Felis silvestris catus
These are typical Australian animals except one.,D,Platypus,Dingo,Echidna,Sloth
Representatives of three of these species produce venom of their own. Which is the odd species?,D,Lizards,Scorpions,Frogs,Mosquitos
Three of these species shed their skin. Which one does not?,A,Penguins,Snakes,Insects,Crustaceans
"All dogs, cats and birds are colorblind.",B,True,False,,Q All of these animals have large ears (relative to their size) except one.
This percentage of all snakes on Earth are lethal to humans.,C,10%,20%,15%,25%
Snakes are this kind of animals.,C,Herbivorous,Omnivorous,Carnivorous,Vegetarian
Snakes consume their food by means of this process.,C,Breathing,Absorption,Swallowing,Chewing
Snakes reproduce only by laying eggs.,B,True,False,,Q Snakes are deaf.
Snake skin is covered in scales.,A,True,False,,Q Snakes belong to the following category.
A specialist in snakes is called one of these.,C,Pisciculturist,Ornithologist,Ophiologist,Herpetologist
One of the following snakes does not belong to the Viperidae family.,B,Horned adder,Grass snake,Viper,Asp
"Snakes are very likely to attack us, regardless of whether they feel threatened or not.",B,True,False,,"Q Cobras are venomous snakes of family Elapidae, that generally inhabit regions of these two continents."
"The cobras most recognizable feature is its hood, a flap of skin and muscle behind the head, believed to serve this purpose.",D,Balance control,Heat collection from sun rays,Camouflage,More threatening appearance
"The Cobra is at the top of the food chain, with only two main predators -- one is man and the other is this animal.",B,Jackal,Mongoose,Lynx,Eagle
This is where the Cobras ribs are situated.,A,Behind its head,"In its chest, around the middle of the body",Cobras have no ribs,In its tale
"The King Cobra feeds almost exclusively on other snakes, even toxic ones.",A,True,False,,Q A baby cobra is fully able to defend itself in as little as this many hours after being born.
What type of dog did Richard Nixon receive from a Texan while he was a candidate for Vice President?,B,German Shepherd,Cocker Spaniel,Golden Retriever,Welsh Corgy
What was the name of Socks companion at the White House during the Clinton Administration?,A,Buddy,Shoes,Bailey,Buster
President Fords dog was named Freedom.,A,False,True,,Q Which of these Presidents had the most pets?
What breed is known as the favourite breed of Queen Elizabeth II?,C,Border Collie,Old English Sheepdog,Welsh Corgi,Australian Cattle Dog
What was the name of Fraisers fathers dog on the hit TV show set in Seattle?,C,Niles,Marty,Eddie,Skip
Which one of these sea mammals is not in the endangered species lists?,B,Fin Whale,Pilot whale,Blue Whale,Humpback Whale
"This endangered turtle is the biggest of all living turtles, reaching a length of over 2.7 m (8.8 ft) and weight of 900 kg (2,000 lb).",A,Leatherback Sea Turtle,Kemps Ridley Turtle,Hawksbill Sea Turtle,Mesoamerican River Turtle
Name the rarest and most endangered of all wolves.,A,Red Wolf,Ethiopian Wolf,Black-backed Wolf,Gray Wolf
"The endangered Komodo dragon is the largest living lizard in the world, growing to an average length of 2-3 meters (10 feet).",B,False,True,,"Q This species of great apes with long arms and reddish hair suffer habitat destruction due to logging, mining and forest fires."
"What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?",C,North America,Central Asia and North America,Central Asia,Europe and North America
"The Asian Elephant, the only living species of the genus Elephas, is the bigger relative of the African Elephant.",B,True,False,,"Q This freshwater mammal, found only in the Yangtze River, is the most endangered (even possibly extinct) cetacean and one of the most endangered species in the world."
"This small nocturnal animal, whose natural habitat are the deserts of Northern Africa, is known to jump not only for hunting or protection, but also for pleasure.",D,Cape Fox,Red Fox,Bengal Fox,Fennec
"Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?",B,North America,Australia,Africa,Asia
"This small, graceful member of the antelope family is an extraordinary jumper - while leaping, it touches the rocky terrain of its South African habitats only with the tip of its hooves, resembling a dance.",D,Oribi,Roan Antelope,Scimitar Oryx,Klipspringer
