Questions,Correct,A,B,C,D
"No state has as many different species of mammals as this one. The average square mile of land contains 1.4 elk, 1.4 pronghorn antelope, and 3.3 deer.", Montana,Nebraska,Nevada,Colorado,Montana
One of the following pairs (state - its capital) is wrong., North Dakota - Fargo,Kentucky - Frankfort,Kansas - Topeka,Maine - Augusta,North Dakota - Fargo
The 3rd Monday in April is Patriots Day - a legal holiday in this state., Massachusetts,California,Washington,Oregon,Massachusetts
Francis Drake was 66 years old at his inauguration and the oldest governor of this state., Iowa,Nevada,Ohio,Minnesota,Iowa
What is the state capital of Washington?, Olympia,Olympia,Seattle,Walla Walla,Spokane
What is the state capital of Oregon?, Salem,Bend,Portland,Eugene,Salem
What is the state capital of California?, Sacramento,Sacramento,Los Angeles,San Diego,San Francisco
What is the state capital of Idaho?, Boise,Boise,Idaho Falls,Pocatello,Coeur DAlene
What is the state capital of Nevada?, Carson City,Reno,Las vegas,Carson City,Austin
What is the state capital of Utah?, Salt Lake city,Cedar City,Provo,Price,Salt Lake city
What is the state capital of Arizona?, Phoenix,Phoenix,Kingman,Tucson,Flagstaff
What is the state capital of Alaska?, Juneau,Kodiak,Juneau,Anchorage,Fairbanks
"During World War II, this country was able to successfully defend its freedom and resist invasions by the Soviet Union - despite some loss of territory. It joined the European Union in 1995.", Finland,Poland,Czech Republic,Finland,Lituania
This country shares common boundaries with every South American country except Chile and Ecuador., Brazil,Colombia,Argentina,Bolivia,Brazil
"After gaining its independence in 1991, it has retained closer political and economic ties to Russia than any of the other former Soviet republics.", Belarus,Ukraine,Latvia,Bulgaria,Belarus
"It was once the center of power for an empire.  Occupied by the allies in 1945, a state treaty ended its occupation in 1955 and recognized its independence.", Austria,Belgium,Denmark,Austria,Hungary
This country is home to the northernmost capital in mainland Europe?, Finland,Sweden,Denmark,Finland,United Kingdom
It is the sixth largest country and home of The Doctor breeze., Australia,Ukraine,Canada,Australia,United Kingdom
Its three-year-old Socialist government was overthrown in 1973 by a dictatorial military regime led by Augusto Pinochet., Chile,Peru,Paraguay,Chile,Uruguay
"This country dominates the Aegian Sea and possesses an archipelago of about 2,000 islands.", Greece,Italy,Cyprus,Greece,Turkey
"This country controls the Sinai Peninsula.  Following the completion of the Suez Canal in 1869, it became an important world transportation hub.", Egypt,Thailand,Egypt,Hong Kong,Libya
The first American capital.  It has a nick name coined by musicians - it means  to play the big time., New York,Washington D.C.,New York,Boston,San Francisco
The cable cars of this city are the only mobile National Monument., San Francisco,Oklahoma,San Francisco,Nevada,Los Angeles
"When broken down into kanji, the name of this capital city means east and capital.", Tokyo,Nagoya,Osaka,Kyoto,Tokyo
The Seine river divides this city into the Rive Droite (French for Right Bank) north of the river and the Rive Gauche (French for Left Bank) south of the river., Paris,Lille,Lyon,Marseille,Paris
"This city situated south of China is made up of 230 islands, Lantau Island being the largest.", Hong Kong,Taipei,Peking,Shanghai,Hong Kong
This city is the only one located on two continents., Istanbul,Kadis,Istanbul,Tanjer,Athens
In the devilish year of  1666 a great fire occured in this European capital city. Half of it burned down., London,Rome,Paris,Vienna,London
One of this citys most prominent landmarks is the Brandenburger Tor (Brandenburg Gate).  It once marked the boundary between East and West Germany., Berlin,Berlin,Munchen,Frankfurt,Bonn
This city is famous for its water-channel traffic. It has been designated a World Heritage Site., Venice,Barri,Naples,Venice,Rome
This Peruvian city is stuck between the desert and the sea. It is also known as The City of the Kings., Lima,Trujillo,Cuzco,Chimbote,Lima
Which of these U.S. states is not a Four Corners state?, Wyoming,New Mexico,Utah,Colorado,Wyoming
The Appalachian Trail divides two states as it makes its trek through Great Smoky Mountains National Park. Name the states it divides., North Carolina and Tennessee.,New Hampshire and Maine.,North Carolina and Tennessee.,West Virginia and Maryland.,Georgia and Alabama.
"The town of San Ysidro is located in what state, near what border?"," California, near the border with Mexico.","California, near the border with Mexico.","Washington, near the border with Oregon","California,  near the border with Arizona","Iowa, near the border with Missouri"
Mount Fuji is a nearly perfectly shaped volcano.  It has been worshipped as a sacred mountain., Japan,Thailand,China,Japan,Malaysia
Mount Everest was formed some 50 million years ago. It rises a few meters each year because of geological forces. On the border between which two countries is this mount situated?, China and Nepal,Sumatra and China,Thailand and Nepal,China and Nepal,Nepal and India
"From forest to desert, the Grand Canyon has the most extreme nature climate.", USA,Mexico,Canada,USA,Brazil
"Through thousands of years in existence, Niagara Falls has been eroding at a rate of 4 feet (1.5 meters) per year.", Canada,Mexico,Equador,Canada,Argentina
The name of mount Kilimanjaro comes from Swahili and means the mountain that glitters., Tanzania,Tanzania,Zimbabwe,Uruguai,Zambia
The Great Barrier Reef consists of many colonies of corals. That is why it is sometimes referred to as the largest living animal in the world., Australia,Armenia,Australia,Austria,Anrgentina
"Krakatoa volcano caused the most violent volcanic eruption recorded in worlds history.  In 1883, it destroyed 75 % of the territory of its island.", Indonesia,Thailand,Malaysia,Indonesia,Surinam
"Local Batonga people had named Victoria Falls Mosi-Oa-Tunya, which stands for the smoke that thunders.", Zimbabwe,Malawi,Zimbabwe,Mozambique,Namibia
The scientific name for the Northern Lights phenomenon is Aurora Borealis. They are often mistaken for UFOs.  Where do they happen?, In the northern part of our planet,In the southern part of our planet,On the Equator,In Newfoundlend,In the northern part of our planet
"Nicknamed the Grand Canyon State, it entered the Union on Feb 14, 1912.", Arizona,Utah,Nevada,New Mexico,Arizona
"This US state, nicknamed The Sunshine State, is famous with its beaches and theme parks.", Florida,Texas,California,Georgia,Florida
"Nicknamed the Treasure State, this western US state is fourth largest in area.", Montana,Nevada,Oregon,Montana,California
"Nicknamed the Ocean State, it is the smallest US state.", Rhode Island,Hawaii,Delaware,New Hampshire,Rhode Island
"The Beehive State requested admission to the Union in 1849 under the name Deseret.  After polygamous marriage practices were discontinued, it was finally admitted in 1896, under what name?", Utah,Arizona,Colorado,South Dakota,Utah
"Nicknamed the Green Mountain State, this eastern US state was admitted to the Union on March 4, 1791.", Vermont,Vermont,Pennsylvania,Connecticut,Delaware
"Nicknamed The Buckeye State, it is the birthplace many former US presidents, including Ulysses S. Grant.", Ohio,Nebraska,Iowa,Ohio,Indiana
"This US state, known as the Equality State, is home of Devils Tower, featured in the movie Close Encounters of the Third Kind.", Wyoming,North Dakota,Wyoming,Idaho,Washington
"Home on the Range is the state song of this US mid-western state, known as The Sunflower State.", Kansas,Kansas,Nebraska,Indiana,Illinois
"This Bluegrass State hosts a famous horserace in Louisville, and is the birthplace of President Abraham Lincoln.", Kentucky,Kentucky,Kansas,Nebraska,Illinois
"This volcano, featured in a short 1933 Academy Award-winning movie, is located near the Indonesian island of Rakata, in the Sunda Strait.", Krakatoa,Ruapehu,Krakatoa,Kilauea,Pinatubo
"Located in Tanzania, it is Africas highest mountain.", Mount Kilimanjaro,Mount Kenya,Maromokotro,Mount Kilimanjaro,Ras Dascian
"One of the most intriguing attractions of Venice is Ponte dei Sospiri, which means this in English.", The Bridge of Sighs,The River of Tears,The Bridge of Sighs,The Street of Sorrow,The House of Death
"If you think you can see the Statue of Liberty only in New York City, think again! I went to this huge European city and saw it right there, standing near the Grenelle Bridge and looking towards the Atlantic Ocean, facing its larger sister in New York Harbor.", Paris,Paris,Madrid,London,Barcelona
When I visited this lonely continent I was so moved by the spherical-sectioned shells of the opera house in this city., Sydney,Sydney,Melbourne,Brisbane,Adelaide
"Madrid is the largest city and capital of this country, whose the most valuable natural resource is the soil - nearly one-third of the land is suitable for cultivation.", Spain,Spain,Portugal,Argentina,Brazil
"Bern is the capital of this country, where most rivers are not suitable for navigation due to their great falls and swift currents.", Switzerland,Denmark,Sweden,Finland,Switzerland
"Ulaan Baator is the capital of this sparsely populated country, where domesticated animals outnumber people.", Mongolia,Chile,Brazil,Mongolia,Uruguay
"This country’s capital, Sucre, is nicknamed “the white city” because most of the colonial buildings in the city centre are white.", Bolivia,Bolivia,Pakistan,Honduras,Kenya
This country is about the size of California but has about one -sixth of its population. Its capital city is Asunción., Paraguay,Cuba,Paraguay,Peru,Honduras
"Vientiane is the capital of this country, which has more than 50 ethnic groups, divided into three broad categories.", Laos,North Korea,Vietnam,Laos,Cambodia
"Phnom Penh is the capital of this country, whose official language is Khmer.", Cambodia,Cambodia,South Vietnam,Laos,North Vietnam
"Vienna is the capital of this landlocked country, which became a member of the European Union in 1995.", Austria,Australia,Belgium,Austria,Germany
"Montevideo is the capital of this second smallest country in South America, after Suriname.", Uruguay,Paraguay,Bolivia,Chile,Uruguay
"Caracas is the capital of this country, a Spanish colony for more than 300 years, before it declared its independence in the early 19th century.", Venezuela,Peru,Columbia,Venezuela,Chile
"With the aid of Queen Isabella of Spain, Christopher Columbus set off in 1492 using three tiny ships.  One of these ships was not part of the expedition.", The Victoria,The Santa Maria,The Pinta,The Victoria,The Nina
Which of the following pairs (explorer - region he discovered) is not correct?, Cabral - Uruguay,Cortez - Mexico,Pizarro - Peru,Cabral - Uruguay,Vespucci - Argentina
Which of the following was not a cause of the Great Geographical Discoveries?, The Portuguese King thought his admirals would dethrone him and he wanted to send them away.,The Portuguese King thought his admirals would dethrone him and he wanted to send them away.,Many new inventions like the compass helped the sailors a lot.,The Turks controlled the land route to India. That forced the Western countries to seek alternative routes.,Western monarchs along with the Pope wanted to spread their influence through converting the newly discovered nations to Christianity.
Trenton is the capital of this eastern state., New Jersey,Maryland,New York,New Jersey,Connecticut
Juneau is the capital of this last frontier state., Alaska,Utah,Alaska,California,Nevada
"Columbus discovered the Americas in 1492, and is rewarded with this midwestern state naming its capital after him.", Ohio,North Carolina,South Carolina,Ohio,Georgia
Helena is this Rocky Mountain states capital., Montana,Nevada,California,Wyoming,Montana
Richmond is the capital of this state where many US presidents were born., Virginia,Maryland,Virginia,West Virginia,Delaware
The capital of this diverse northwestern state is Salem., Oregon,Massachusetts,Oregon,New Hampshire,Washington
"This state, which houses one of the largest cities in the world, has Albany as its capital.", New York,New York,New Mexico,Georgia,Minnesota
Jefferson City serves as the capital of this Midwestern state., Missouri,Texas,California,Missouri,Florida
The capital of this southern state is also known as music city., Tennessee,Delaware,Tennessee,Kentucky,Georgia
Carson City is the capital of this Battle Born State., Nevada,Arizona,Nevada,California,Utah
Tallahassee is situated on the panhandle of this southern state and serves as its capital., Florida,Pennsylvania,Florida,North Dakota,California
"If you are in Sacramento, the capital of this western state, you are within a days drive to beautiful beaches, high mountains with famous national parks, and one of the deepest, most picturesque lakes in the world.", California,Arizona,California,Utah,Washington
Austin is the capital of this US state which once existed as an independent republic., Texas,Texas,Maine,Georgia,South Carolina
This northeast state has Augusta as its capital., Maine,New Hampshire,Maine,Pennsylvania,Vermont
"This southern state has many beaches, an incredible fort from the revolutionary war, and Columbia as its capital.", South Carolina,South Carolina,Ohio,Illinois,North Carolina
This midwestern state has Madison as its capital., Wisconsin,Wisconsin,Indiana,Kentucky,Illinois
"Salt Lake City, known for the salty, barren desert lake to the west of the city, was founded by mormons and is the capital of this geographically diverse state.", Utah,Utah,South Dakota,Nevada,North Dakota
This eastern state with rich history has Annapolis as its capital., Maryland,Maryland,New Mexico,New Jersey,Virginia
Springfield is the capital of this midwestern state., Illinois,Kentucky,Missouri,Illinois,Ohio
Only this one of the seven wonders of the world survived the trials of time and is open to visitors., Great Pyramid of Giza,Colossus of Rhodes,Statue of Zeus at Olympia,Great Pyramid of Giza,Lighthouse of Alexandria
"A wonder of the ancient world was built on the territory of all of these modern-day countries, but one.  Which is the odd one?", Syria,Iraq,Syria,Egypt,Turkey
In what century was the original version of the Seven Wonders of the World list created by Antipater of Sidon?, 2nd century BC,6th century BC,2nd century BC,7th century AD,3th century AD
"The Great Pyramid of Giza, the oldest of the Seven Wonders of the Ancient World, was built approximately how long ago?", 4500 years ago,1000 years ago,2000 years ago,700 years ago,4500 years ago
"According to legends, what was the purpose of the most mysterious of the Seven Wonders of the Ancient World -- The Hanging Gardens of Babylon?", Comfort a rulers wife,Resemble the Heavens,Please the gods,Comfort a rulers wife,Provide a place of solace and recreation for the rulers
"The Statue of Zeus, a Wonder of the Ancient World created in the ancient city of Olympia in 435 BC, was made primarily of what material?", Ivory,Copper,Gold,Marble,Ivory
"Built in honor of the Greek goddess Artemis, the Temple of Artemis was an enormous architectural construction for its time. In Greek mythology, Artemis is the goddes of what?", Hunt and the moon,"Wisdom, strategy, and war",Beauty and Love,"Plague, beauty, light, healing, colonists, medicine",Hunt and the moon
"Like the Great Pyramid of Giza, the Mausoleum of Maussollos is the burial place of an ancient ruler - king Mausollos of Caria. Who conceived the idea of building this ancient wonder of the world?", Maussolloss sister,Maussolloss best friend and advisor,Maussolloss son,Maussolloss sister,Maussolloss brother
"The Colossus of Rhodes was a giant statue, erected at the Greek island Rhodes harbor in 3rd century BC. Which ancient Greek god did the statue depict?", Helios,Ares,Helios,Zeus,Eurus
"The Lighthouse of Alexandria, the only one of the Seven Wonders, which had a practical use in addition to architectural elegance, included this remarkable device that astonishes even modern researchers.", A huge mirror,A huge mirror,A telescope,A heavy catapult,A windsock
Over 125 million people of more than 250 ethnic groups share the territory of this African country. This constitutes 1/5 of the population of the entire continent., Nigeria,Nigeria,Egypt,Zaire,South Africa
There is a vending machine for every 23 of the almost 130 million people that live in this country., Japan,China,Singapore,Japan,Korea
"Dhaka, formerly Dacca, is the capital and largest city of this  country with over 140 million citizens.  Families there are large, unfortunately so is infant mortality.", Bangladesh,Ecuador,Pakistan,Nauru,Bangladesh
This home to 144 million spans 11 time zones and its territory takes up 1/8th of the entire Earth surface., Russia,Australia,Canada,USA,Russia
"Islam, Christianity and Hinduism all coexist in this country of 160 million.", Pakistan,Bangladesh,Pakistan,Iran,Iraq
About 75% of the 185 million citizens of this country live in the cities. The largest city is Sao Paulo with a population of 16 million., Brazil,Peru,Brazil,Bolivia,Argentina
"Constituted of 17,508 islands this country gives home to about 240 million. Its tropical rain forest accounts for 10% of the worlds rain forests.", Indonesia,Bali,Singapore,Malaysia,Indonesia
"It is home of almost 300 million.  There were millions of buffaloes before the first settlers arrived, but urbanization has been a factor in their decrease.", USA,Canada,Mexico,Australia,USA
"The first medical school, Ayurveda was founded in this populous country.", India,Israel,India,Pakistan,China
"This is the most populated country in the world - 1.3 billion people live there.  The native language, Mandarin, is most widely spoken, with 885 million speakers.", China,Japan,India,China,South Korea
The famous Bull Run is held in this Spanish city., Pamplona,Valencia,Pamplona,Cordoba,Barcelona
