Questions,Correct,A,B,C,D
This formation is a conical hill or mountain. It is formed by mantle material being pressed through an opening in the Earths crust., A volcano,A volcano,A hill,An earthquake,A geyser
"Japan suffers from this event very often. It is the sudden, light or violent movement of the earths surface caused by the release of energy in the earths crust.", Earthquake,Volcano,Earthquake,Tide,Tsunami
It is the only continent that does not have land areas below sea level., Antarctica,Australia,South America,Antarctica,Arctica
It is the longest river in the world, The Nile,Themes,The Amazon,The Nile,Danube
"Why do travelers to La Paz, Bolivia, often become ill as soon as they arrive?", Because of the altitude,Because of the high temperature,Because of the humidity,Because of the soil quality,Because of the altitude
"In the US, why do we change our clocks on the daylight saving time dates in April and October?", To conserve energy,To conserve energy,To increase the hours of the day,To extend the working day,Because the tourist period in most countries starts in May
These are places of arid land with really low rainfall and high tempertures variation. Their vegetation is insignificant and the population of people and animals is very limited., Deserts,Oceans,Raiforests,The equator,Deserts
This is a gemstone made by fossilized tree sap that is at least 30 million years old., Amber,Obsidian,Amber,Tourmaline,Malachite
This is the largest island on Earth and one third of it is a national park., Greenland,Greenland,Madagaskar,Australia,Alaska
Which of these organs has no known function in the human body?, appendix,tonsils,appendix,uvula,pineal gland
The main function of this organ of respiration is to transport oxygen from the atmosphere into the bloodstream., lung,stomach,diaphragm,trachea,lung
This gland is shaped like a butterfly and helps regulate energy in the body., thyroid,parathyroid,thyroid,adrenal,thymus
This doctor takes care of you and your baby during pregnancy., Obstetrician,Psychologist,Periodontist,Obstetrician,Pediatrician
What is the most common method of child birth?, Vaginal,Cesarean,Vaginal,Water birth,In Vitro Fertilization
"How far along are you approximately, when you feel the baby move for the first time?", 20 weeks,10 weeks,35 weeks,2 weeks,20 weeks
What is suggested that you not do several hours before you go into labor?  It could get you embarrassed., Eat food,Eat fish,Have sex,Talk on the phone,Eat food
What is also delivered along with the baby or immediately after its birth?, Placenta,Feet,Shoulders,Placenta,Handbook
These small bodies are considered left overs from the formation of the Solar system some 4.6 billion years ago., Asteroids,Comets,Stars,Planets,Asteroids
These are lumps of ice and dust.  When they get close enough to the Sun they gradually evaporate.  Jets of gas and dust create long tails that people can see from Earth., Comets,Asteroids,Comets,UFOs,Stars
This planet is slightly smaller than Earth and its closest neighbor (excluding the Moon)., Venus,Venus,Uranus,Mars,Saturn
"This planet is has the largest  group of moons - 31, but it is best known for its ring system.", Saturn,Neptune,Mars,Saturn,Venus
This planet of the Solar System was named after a Greek god of the sea and earthquakes. The name is actually the Roman translation of the gods name., Neptune,Mercury,Neptune,Pluto,Uranus
"As this is the closest planet to the Sun, its temperatures at the surface range between -300 and 800 F (hot enough for lead to melt).", Mercury,Neptune,Mercury,Pluto,Venus
"The surface of this planet is unique, it is the only one which has water in large quantities.", Earth,Saturn,Pluto,Earth,Mars
Which Solar System celestial bodys revolution around the Sun takes 248 years?, Pluto,Saturn,Pluto,Neptune,Uranus
This is the largest planet in our solar system. It is most famous for its Great Red Spot., Jupiter,Mars,Neptune,Saturn,Jupiter
"Miranda, Ariel, Umbriel, Titania, Oberon, Caliban, and Sycorax are names of the icy moons of this planet.", Uranus,Uranus,Jupiter,Saturn,Venus
"If you and I are chatting over the Internet and I write LOL, that means that I am doing this.", Laughing,Crying,Laughing,Sleeping,Eating
One of the following pairs (chat abbreviation - its  meaning) is wrong., TTYL - To Tell You a Lie,BRB - Be Right Back,ATM - At The Moment,TTYL - To Tell You a Lie,TIA - Thanks In Advance
One of these things will not help you to get in touch with your neighbours PC., Cache server,Hub,Router,Cache server,Network card
"The medical term cardio, deriving from a Greek word, refers to which organ of the human body?", Heart,Brain,Liver,Lungs,Heart
The term arthro is of Greek origin. It refers to which part of the body?, Joint,Head,Skin,Bone,Joint
"Gastro is a common medical prefix, derived from the Greek word gastros which means what?", Stomach,Gas,Brain,Cell,Stomach
"The food colorants, cochineal and carmine, are made from what?", A kind of insect,Frogs,A kind of insect,FDC Red Dye #40,None of these
"Jell-O, the popular gelatin dessert, is made in part, from what?", Bones and hides,Bones and hides,Red ants,None of these,Horses and cows hooves
"Chop Suey, a pasta dish consisting of short noodles, was originally made and served in which country?", USA,Thailand,USA,China,Vietnam
"This progressive generative disease of the brain results in loss of cognitive ability and uncontrolled movements, called chorea, the Greek word for dance.", Huntingtons Disease,Alzheimers Disease,Myasthenia Gravis,Multiple Sclerosis,Huntingtons Disease
Which of these is best describes the cause of Parkinsons disease?, A decrease in a neurotransmitter,A brain injury,Changes in the myelin sheath of the neuron,Decreased blood flow to the brain,A decrease in a neurotransmitter
"If your physician tells you that you have Presbycusis due to the normal process of aging, he may suggest that you need which of these?", Hearing aid,Dentures,Glasses,A wheelchair,Hearing aid
Which of these medical terms means difficulty in swallowing., dysphagia,dyspepsia,dysuria,dyspnea,dysphagia
"Which of these most accurately describes the medical term, necrosis?", Death of living tissue,Irregular heartbeat,Death of living tissue,Decrease in white blood cells,Liver damage
"Your physician has ordered an electroencephalogram (EEG), the graphic recording of the electrical activity of what organ?", Brain,Muscles,Liver,Heart,Brain
"In the US, what was the average street cost of a lid (3/4 ounce bag) of marijuana in the mid 1970s?", $15.00,$20.00,$10.00,$15.00,$5.00
"Marijuana is known by many names, including all of these but one. Which is the odd name?", Janu,Mary Jane,Weed,Pot,Janu
What is marijuanas primary active ingredient?, THC,THC,TCB,TAC,TBC
